"lesson_id","filename","script_text","voice_direction"
"lessons/RI.K.10","S1a","Look! Fact books are full of real, true things.",""
"lessons/RI.K.10","S1b","They can be about anything. Bugs, planets, food, weather.",""
"lessons/RI.K.10","S1c","Let us learn how to enjoy fact books all year.",""
"lessons/RI.K.10","S2a","Pick fact books about things you love.",""
"lessons/RI.K.10","S2b","Love dinosaurs? Read about dinosaurs! Love space? Read about space!",""
"lessons/RI.K.10","S2c","When you love the topic, learning is fun.",""
"lessons/RI.K.10","S3a","Fact books have pictures, labels, and big words at the top.",""
"lessons/RI.K.10","S3b","Slow down and look at each one.",""
"lessons/RI.K.10","S3c","Pictures teach you facts the words might not say.",""
"lessons/RI.K.10","S4a","Here is a helpful trick.",""
"lessons/RI.K.10","S4b","Pick a new topic each week. You will discover something cool!",""
"lessons/RI.K.10","S4c","Now you are ready to read fact books all year!",""
