"lesson_id","filename","script_text","voice_direction"
"2nd-grade/RL.2.1","RL.2.1-Q1-incorrect","The correct answer is The garden.",""
"2nd-grade/RL.2.1","RL.2.1-Q2-incorrect","The correct answer is A tennis ball.",""
"2nd-grade/RL.2.1","RL.2.1-Q3-incorrect","The correct answer is She didn't know anyone.",""
"2nd-grade/RL.2.1","RL.2.1-Q4-incorrect","The correct answer is His grandpa.",""
"2nd-grade/RL.2.1","RL.2.1-Q5-incorrect","The correct answer is When it was raining hard.",""
"2nd-grade/RL.2.2","RL.2.2-Q1-incorrect","The correct answer is It's good to plan ahead.",""
"2nd-grade/RL.2.2","RL.2.2-Q2-incorrect","The correct answer is Slow and steady wins the race.",""
"2nd-grade/RL.2.2","RL.2.2-Q3-incorrect","The correct answer is Being patient and fair matters.",""
"2nd-grade/RL.2.2","RL.2.2-Q4-incorrect","The correct answer is Even small friends can be a big help.",""
"2nd-grade/RL.2.2","RL.2.2-Q5-incorrect","The correct answer is Hard work beats bragging.",""
"2nd-grade/RL.2.3","RL.2.3-Q1-incorrect","The correct answer is She decided to build a bigger one.",""
"2nd-grade/RL.2.3","RL.2.3-Q2-incorrect","The correct answer is He took a deep breath and started over.",""
"2nd-grade/RL.2.3","RL.2.3-Q3-incorrect","The correct answer is She went from scared to laughing.",""
"2nd-grade/RL.2.3","RL.2.3-Q4-incorrect","The correct answer is He found a way to stay in touch.",""
"2nd-grade/RL.2.3","RL.2.3-Q5-incorrect","The correct answer is She is a good sport.",""
"2nd-grade/RL.2.4","RL.2.4-Q1-incorrect","The correct answer is The sound of rain falling.",""
"2nd-grade/RL.2.4","RL.2.4-Q2-incorrect","The correct answer is Hear the sound of sweeping.",""
"2nd-grade/RL.2.4","RL.2.4-Q3-incorrect","The correct answer is Many words start with the same sound.",""
"2nd-grade/RL.2.4","RL.2.4-Q4-incorrect","The correct answer is Lively and playful.",""
"2nd-grade/RL.2.4","RL.2.4-Q5-incorrect","The correct answer is To copy the sound and rhythm of a clock.",""
"2nd-grade/RL.2.5","RL.2.5-Q1-incorrect","The correct answer is Zara found a magic key.",""
"2nd-grade/RL.2.5","RL.2.5-Q2-incorrect","The correct answer is Wrap up the story and solve the problem.",""
"2nd-grade/RL.2.5","RL.2.5-Q3-incorrect","The correct answer is Devin wanted to win the contest.",""
"2nd-grade/RL.2.5","RL.2.5-Q4-incorrect","The correct answer is The beginning.",""
"2nd-grade/RL.2.5","RL.2.5-Q5-incorrect","The correct answer is Mia finds her puppy.",""
"2nd-grade/RL.2.6","RL.2.6-Q1-incorrect","The correct answer is Ana loved it but Carlos was scared.",""
"2nd-grade/RL.2.6","RL.2.6-Q2-incorrect","The correct answer is Both Dad and Jayden.",""
"2nd-grade/RL.2.6","RL.2.6-Q3-incorrect","The correct answer is Rain helps the farmer's crops but stops the children's play.",""
"2nd-grade/RL.2.6","RL.2.6-Q4-incorrect","The correct answer is Ella wants to stay up but mom wants her to go to bed.",""
"2nd-grade/RL.2.6","RL.2.6-Q5-incorrect","The correct answer is The wolf says he was friendly but the pigs say he was dangerous.",""
"2nd-grade/RL.2.7","RL.2.7-Q1-incorrect","The correct answer is Tomas is very happy.",""
"2nd-grade/RL.2.7","RL.2.7-Q2-incorrect","The correct answer is There's a big storm.",""
"2nd-grade/RL.2.7","RL.2.7-Q3-incorrect","The correct answer is They help you understand the characters and setting better.",""
"2nd-grade/RL.2.7","RL.2.7-Q4-incorrect","The correct answer is Maya is at a surprise party.",""
"2nd-grade/RL.2.7","RL.2.7-Q5-incorrect","The correct answer is He's feeding pigeons and seems kind.",""
"2nd-grade/RL.2.9","RL.2.9-Q1-incorrect","The correct answer is A girl goes to a ball.",""
"2nd-grade/RL.2.9","RL.2.9-Q2-incorrect","The correct answer is Both the same AND different.",""
"2nd-grade/RL.2.9","RL.2.9-Q3-incorrect","The correct answer is The type of hero.",""
"2nd-grade/RL.2.9","RL.2.9-Q4-incorrect","The correct answer is Both characters find something magical and valuable.",""
"2nd-grade/RL.2.9","RL.2.9-Q5-incorrect","The correct answer is Each culture adds its own setting, characters, and traditions.",""
"2nd-grade/RL.2.10","RL.2.10-Q1-incorrect","The correct answer is Brave but a little scared.",""
"2nd-grade/RL.2.10","RL.2.10-Q2-incorrect","The correct answer is His own style matters.",""
"2nd-grade/RL.2.10","RL.2.10-Q3-incorrect","The correct answer is Dedicated.",""
"2nd-grade/RL.2.10","RL.2.10-Q4-incorrect","The correct answer is Small things can grow into something big.",""
"2nd-grade/RL.2.10","RL.2.10-Q5-incorrect","The correct answer is He made friends quickly.",""
"2nd-grade/RI.2.1","RI.2.1-Q1-incorrect","The correct answer is Lays all the eggs.",""
"2nd-grade/RI.2.1","RI.2.1-Q2-incorrect","The correct answer is To keep safe from fire and heat.",""
"2nd-grade/RI.2.1","RI.2.1-Q3-incorrect","The correct answer is 300.",""
"2nd-grade/RI.2.1","RI.2.1-Q4-incorrect","The correct answer is On the beach where they were born.",""
"2nd-grade/RI.2.1","RI.2.1-Q5-incorrect","The correct answer is 1969.",""
"2nd-grade/RI.2.2","RI.2.2-Q1-incorrect","The correct answer is Why dogs make great pets.",""
"2nd-grade/RI.2.2","RI.2.2-Q2-incorrect","The correct answer is Why apples are healthy.",""
"2nd-grade/RI.2.2","RI.2.2-Q3-incorrect","The correct answer is All about penguins.",""
"2nd-grade/RI.2.2","RI.2.2-Q4-incorrect","The correct answer is The three forms of water.",""
"2nd-grade/RI.2.2","RI.2.2-Q5-incorrect","The correct answer is Think about what ALL the paragraphs are about together.",""
"2nd-grade/RI.2.3","RI.2.3-Q1-incorrect","The correct answer is It becomes a butterfly.",""
"2nd-grade/RI.2.3","RI.2.3-Q2-incorrect","The correct answer is Water evaporating into the air.",""
"2nd-grade/RI.2.3","RI.2.3-Q3-incorrect","The correct answer is The Wright Brothers' invention led to modern airplanes.",""
"2nd-grade/RI.2.3","RI.2.3-Q4-incorrect","The correct answer is Put the other slice on top.",""
"2nd-grade/RI.2.3","RI.2.3-Q5-incorrect","The correct answer is Bees carry pollen to other flowers, which helps plants grow.",""
"2nd-grade/RI.2.3","RI.2.3-Q6-incorrect","The correct answer is It forms clouds.",""
"2nd-grade/RI.2.3","RI.2.3-Q7-incorrect","The correct answer is Too many sea urchins eating the kelp.",""
"2nd-grade/RI.2.3","RI.2.3-Q9-incorrect","The correct answer is They help each other.",""
"2nd-grade/RI.2.3","RI.2.3-Q11-incorrect","The correct answer is The sun heats the water.",""
"2nd-grade/RI.2.3","RI.2.3-Q13-incorrect","The correct answer is The bags look like jellyfish.",""
"2nd-grade/RI.2.3","RI.2.3-Q15-incorrect","The correct answer is Sunlight reaching the bottom.",""
"2nd-grade/RI.2.4","RI.2.4-Q1-incorrect","The correct answer is Active at night.",""
"2nd-grade/RI.2.4","RI.2.4-Q2-incorrect","The correct answer is A natural home.",""
"2nd-grade/RI.2.4","RI.2.4-Q3-incorrect","The correct answer is It is warm-blooded with fur or hair.",""
"2nd-grade/RI.2.4","RI.2.4-Q4-incorrect","The correct answer is Very huge.",""
"2nd-grade/RI.2.4","RI.2.4-Q5-incorrect","The correct answer is Food-like substances that help plants grow.",""
"2nd-grade/RI.2.5","RI.2.5-Q1-incorrect","The correct answer is The glossary.",""
"2nd-grade/RI.2.5","RI.2.5-Q2-incorrect","The correct answer is To tell you what that section is about.",""
"2nd-grade/RI.2.5","RI.2.5-Q3-incorrect","The correct answer is The index.",""
"2nd-grade/RI.2.5","RI.2.5-Q4-incorrect","The correct answer is To show important or new vocabulary words.",""
"2nd-grade/RI.2.5","RI.2.5-Q5-incorrect","The correct answer is Caption.",""
"2nd-grade/RI.2.6","RI.2.6-Q1-incorrect","The correct answer is To explain how to take care of your teeth.",""
"2nd-grade/RI.2.6","RI.2.6-Q2-incorrect","The correct answer is Inform you about blue whales.",""
"2nd-grade/RI.2.6","RI.2.6-Q3-incorrect","The correct answer is Persuade you to recycle.",""
