Folder,Filename,Prompt
assessment/kindergarten/RF.K.1d,K_M_01.png,"Cartoon picture of a cheerful child pointing at colorful alphabet blocks. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.2a,K_M_02.png,"Cartoon picture of a cheerful child clapping and listening to words, with musical notes around them. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.3b,K_E_03.png,"Cartoon picture of a cheerful child with a big smile, cupping a hand to their ear to listen. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/L.K.5a,K_E_04.png,"Cartoon picture of a rainbow with bright colors in a sunny sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RL.K.1,K_H_05.png,"Cartoon picture of a girl looking underneath a bed in a cozy bedroom, searching for something. A red ball is visible under the bed. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RL.K.3,K_H_06.png,"Cartoon picture of a boy and his mom fixing a colorful kite together in a sunny park, both smiling. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/L.K.5a,K_I_07.png,"Cartoon picture of a cat and a dog playing together next to colorful paint splashes. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/L.K.5a,K_I_08.png,"Cartoon picture of food items and toys spread out on a table, including an apple, bread, a ball, and a kite. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.2d,K_I_09.png,"Cartoon picture of a cat. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.3b,K_I_10.png,"Cartoon picture showing: i see a dog. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/L.K.1f,K_I_11.png,"Cartoon picture showing: i can read. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/L.K.1f,K_I_12.png,"Cartoon picture of a bright yellow sun shining in a clear blue sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RF.1.3b,G1_M_01.png,"Cartoon picture of a cheerful child holding a big colorful letter block showing ""map"". Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RL.1.1,G1_M_02.png,"Cartoon picture of a happy girl planting flowers in a garden, smiling while watering them with a watering can. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RF.1.3a,G1_E_03.png,"Cartoon picture of a colorful ship sailing on blue ocean waves under a sunny sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/L.1.5a,G1_E_04.png,"Cartoon picture of two children side by side, one sweating in summer heat with a sun, and one bundled up in winter cold with snowflakes. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RL.1.2,G1_H_05.png,"Cartoon picture of a boy looking at a feeding chart on the wall next to a goldfish bowl with a happy fish. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RI.1.2,G1_H_06.png,"Cartoon picture of bees collect nectar from flowers. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/L.1.1b,G1_I_07.png,"Cartoon picture of a child reading a book while a dog jumps playfully nearby. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
