"lesson_id","filename","script_text","voice_direction"
"lessons/L.1.5d","S1a","Some words mean almost the same thing. But one is stronger!",""
"lessons/L.1.5d","S1b","Like paint colors. Some are soft. Some are super bright.",""
"lessons/L.1.5d","S1c","Words have shades too!",""
"lessons/L.1.5d","S2a","Big means something is large.",""
"lessons/L.1.5d","S2b","Huge means even bigger than big!",""
"lessons/L.1.5d","S2c","An elephant is big. A whale is huge!",""
"lessons/L.1.5d","S3a","Happy means you feel good.",""
"lessons/L.1.5d","S3b","Thrilled means super, super happy!",""
"lessons/L.1.5d","S3c","A little smile, or a big jumping cheer. Different shades!",""
"lessons/L.1.5d","S4a","Here is a helpful trick.",""
"lessons/L.1.5d","S4b","Strong words paint a stronger picture. Pick the shade that fits!",""
"lessons/L.1.5d","S4c","Now you are ready to pick between strong and mild words!",""
