"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3c","RF.1.3c-Q1","Add an E to the end of cap. What word do you get?",""
"1st-grade/RF.1.3c","RF.1.3c-Q1-hint","The E makes the A say its name: AY!",""
"1st-grade/RF.1.3c","RF.1.3c-Q2","What does hop become with a Magic E at the end?",""
"1st-grade/RF.1.3c","RF.1.3c-Q2-hint","Hop plus e = hope. The O says OH!",""
"1st-grade/RF.1.3c","RF.1.3c-Q3","Which word has a Magic E?",""
"1st-grade/RF.1.3c","RF.1.3c-Q3-hint","Magic E is at the end. It makes the vowel say its name!",""
"1st-grade/RF.1.3c","RF.1.3c-Q4","The word kite has which vowel sound?",""
"1st-grade/RF.1.3c","RF.1.3c-Q4-hint","Magic E makes I say its name: EYE!",""
"1st-grade/RF.1.3c","RF.1.3c-Q5","What happens to the E in a Magic E word?",""
"1st-grade/RF.1.3c","RF.1.3c-Q5-hint","Magic E does not make a sound. But it changes the vowel before it!",""
