"lesson_id","filename","script_text","voice_direction"
"lessons/L.1.4c","S1a","A root word is the main part of a word.",""
"lessons/L.1.4c","S1b","Other parts can stick on to it.",""
"lessons/L.1.4c","S1c","But the root stays the same.",""
"lessons/L.1.4c","S2a","Look at these words.",""
"lessons/L.1.4c","S2b","What is the same in all three?",""
"lessons/L.1.4c","S2c","Jump! That is the root word.",""
"lessons/L.1.4c","S2d","I N G, E D, and S are the extra parts.",""
"lessons/L.1.4c","S3a","Playing. Played. Plays.",""
"lessons/L.1.4c","S3b","What is the root word? Play!",""
"lessons/L.1.4c","S3c","The endings change, but play stays!",""
"lessons/L.1.4c","S4a","Here is a helpful trick.",""
"lessons/L.1.4c","S4b","Cover up the ending. What is left? That is the root!",""
"lessons/L.1.4c","S4c","Now you are ready to find root words!",""
