folder,filename,prompt
RL.K.1,q1.png,"Cartoon picture of a happy dog playing fetch with a red ball in a green park. No text, no words, no letters."
RL.K.1,q2.png,"Cartoon picture of a little girl wearing a bright yellow raincoat splashing in puddles on a rainy day. No text, no words, no letters."
RL.K.1,q3.png,"Cartoon picture of a chocolate birthday cake with six candles on a party table with balloons. No text, no words, no letters."
RL.K.1,q4.png,"Cartoon picture of a tiny gray kitten with white paws sitting under a porch. No text, no words, no letters."
RL.K.1,q5.png,"Cartoon picture of a grandma and a little boy planting seeds in a sunny garden. No text, no words, no letters."
RL.K.2,q1.png,"Cartoon picture of a friendly brown bear reaching into a tree to get golden honey. No text, no words, no letters."
RL.K.2,q2.png,"Cartoon picture of a cute green frog jumping onto a lily pad on a calm pond. No text, no words, no letters."
RL.K.2,q3.png,"Cartoon picture of two kids sharing a sandwich at a school lunch table. No text, no words, no letters."
RL.K.2,q4.png,"Cartoon picture of a turtle crossing a finish line while a rabbit sleeps under a tree. No text, no words, no letters."
RL.K.2,q5.png,"Cartoon picture of a bright colorful rainbow appearing in the sky after rain with kids cheering below. No text, no words, no letters."
RL.K.3,q1.png,"Cartoon picture of a boy and his sister walking together on a path to a school building. No text, no words, no letters."
RL.K.3,q2.png,"Cartoon picture of a girl building a sandcastle at a sunny beach with waves nearby. No text, no words, no letters."
RL.K.3,q3.png,"Cartoon picture of a colorful clown juggling five balls at a circus tent. No text, no words, no letters."
RL.K.3,q4.png,"Cartoon picture of an owl sitting on a tree branch at nighttime with a big glowing moon. No text, no words, no letters."
RL.K.3,q5.png,"Cartoon picture of a girl playing in a backyard with a cute puppy digging a hole. No text, no words, no letters."
RL.K.4,q1.png,"Cartoon picture of a very large elephant standing next to a small car to show how big it is. No text, no words, no letters."
RL.K.4,q2.png,"Cartoon picture of a happy boy jumping up and down with a big smile after winning a game. No text, no words, no letters."
RL.K.4,q3.png,"Cartoon picture of a small sailboat drifting slowly on a calm peaceful lake. No text, no words, no letters."
RL.K.4,q4.png,"Cartoon picture of a girl bundled up in winter clothes standing outside in cold weather with visible breath. No text, no words, no letters."
RL.K.4,q5.png,"Cartoon picture of a mighty lion roaring loudly while small animals run away scared. No text, no words, no letters."
RL.K.5,q1.png,"Cartoon picture of a pretty open storybook with a castle and princess illustration on its pages. No text, no words, no letters."
RL.K.5,q2.png,"Cartoon picture of a child singing a song while looking up at twinkling stars in the night sky. No text, no words, no letters."
RL.K.5,q3.png,"Cartoon picture of a stack of colorful storybooks with fun illustrations on their covers. No text, no words, no letters."
RL.K.5,q4.png,"Cartoon picture of cute colorful bugs crawling on leaves and flowers in a garden. No text, no words, no letters."
RL.K.5,q5.png,"Cartoon picture of three little pigs standing in front of three different houses made of straw sticks and bricks. No text, no words, no letters."
RL.K.6,q1.png,"Cartoon picture of a person sitting at a desk writing in a notebook with a pencil. No text, no words, no letters."
RL.K.6,q2.png,"Cartoon picture of an artist painting a colorful picture on a canvas with a paintbrush. No text, no words, no letters."
RL.K.6,q3.png,"Cartoon picture of a colorful book lying open showing both pictures and writing on its pages. No text, no words, no letters."
RL.K.6,q4.png,"Cartoon picture of a person writing at a desk with a pen and a stack of papers. No text, no words, no letters."
RL.K.6,q5.png,"Cartoon picture of a tall red and white striped hat sitting on a stack of whimsical books. No text, no words, no letters."
RL.K.7,q1.png,"Cartoon picture of a sad little girl with tears on her face standing alone. No text, no words, no letters."
RL.K.7,q2.png,"Cartoon picture of white snowflakes falling gently from a cloudy winter sky. No text, no words, no letters."
RL.K.7,q3.png,"Cartoon picture of happy kids at a party with colorful balloons and a big decorated cake. No text, no words, no letters."
RL.K.7,q4.png,"Cartoon picture of a cute cat hiding under a bed in a cozy bedroom. No text, no words, no letters."
RL.K.7,q5.png,"Cartoon picture of a child reading a colorful picture book with illustrations visible on the pages. No text, no words, no letters."
RL.K.9,q1.png,"Cartoon picture of a bear eating honey and a cat drinking milk side by side. No text, no words, no letters."
RL.K.9,q2.png,"Cartoon picture of a rabbit hopping in a forest next to a squirrel climbing a tree. No text, no words, no letters."
RL.K.9,q3.png,"Cartoon picture of a girl sleeping bravely in a dark room while a boy uses a nightlight. No text, no words, no letters."
RL.K.9,q4.png,"Cartoon picture of three little pigs building a brick house while a big wolf watches from behind a tree. No text, no words, no letters."
RL.K.9,q5.png,"Cartoon picture of two kids one crying and one searching under furniture looking for a lost toy. No text, no words, no letters."
RI.K.1,q1.png,"Cartoon picture of busy honeybees buzzing around a beehive making golden honey. No text, no words, no letters."
RI.K.1,q2.png,"Cartoon picture of planet Earth from space showing blue oceans and green land. No text, no words, no letters."
RI.K.1,q3.png,"Cartoon picture of a smiling child brushing their teeth with a colorful toothbrush. No text, no words, no letters."
RI.K.1,q4.png,"Cartoon picture of cute penguins standing on ice in a snowy cold landscape. No text, no words, no letters."
RI.K.1,q5.png,"Cartoon picture of a small green plant growing in soil with sun shining and rain falling on it. No text, no words, no letters."
RI.K.2,q1.png,"Cartoon picture of shiny red green and yellow apples growing on a tree. No text, no words, no letters."
RI.K.2,q2.png,"Cartoon picture of a friendly golden dog wagging its tail and doing a trick. No text, no words, no letters."
RI.K.2,q3.png,"Cartoon picture of a bright yellow sun shining warm rays down on green plants growing. No text, no words, no letters."
RI.K.2,q4.png,"Cartoon picture of a firefighter in gear standing next to a shiny red fire truck. No text, no words, no letters."
RI.K.2,q5.png,"Cartoon picture of a colorful butterfly emerging from a cocoon on a green leaf. No text, no words, no letters."
RI.K.3,q1.png,"Cartoon picture of rain falling on a garden with tall colorful flowers growing up. No text, no words, no letters."
RI.K.3,q2.png,"Cartoon picture of an ice cube melting into a puddle of water on a warm surface. No text, no words, no letters."
RI.K.3,q3.png,"Cartoon picture of a mother hen sitting on a nest with an egg cracking and a baby chick peeking out. No text, no words, no letters."
RI.K.3,q4.png,"Cartoon picture of a big brown bear sleeping in a cozy cave during winter with snow outside. No text, no words, no letters."
RI.K.3,q5.png,"Cartoon picture of a sunflower growing from a tiny seed showing roots stem and blooming flower. No text, no words, no letters."
