Folder,Filename,Prompt
assessment/kindergarten/RF.K.1d,K_M_01.png,"Cartoon picture of a child looking at a big colorful letter on a classroom wall, pointing at it with a smile. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.2a,K_M_02.png,"Cartoon picture of a cheerful child clapping and listening to rhyming words, with colorful musical notes floating around them. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/kindergarten/RF.K.2d,K_I_09.png,"Cartoon picture of a cute penguin sitting and thinking with a finger on its chin, looking curious. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RF.1.3b,G1_M_01.png,"Cartoon picture of a child sitting at a desk with headphones, listening carefully and thinking. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/RF.1.3a,G1_E_03.png,"Cartoon picture of a child thinking with a thought bubble showing different objects. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/L.1.5a,G1_E_04.png,"Cartoon picture of two children side by side, one sweating in summer heat with a sun, and one bundled up in winter cold with snowflakes. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/1st-grade/L.1.5a,G1_I_08.png,"Cartoon picture of a child with different facial expressions showing various emotions, smiling and frowning. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/2nd-grade/RI.2.2,G2_M_02.png,"Cartoon picture of a happy frog sitting on a lily pad in a pond with water lilies, smiling wide. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/2nd-grade/RL.2.2,G2_H_05.png,"Cartoon picture of two children helping each other pick up scattered crayons from the floor, both smiling. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/3rd-grade/RI.3.1,G3_M_01.png,"Cartoon picture of a cute penguin standing on ice with snowflakes falling, looking happy and warm. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/3rd-grade/L.3.5a,G3_E_04.png,"Cartoon picture of a child running fast outdoors with wind blowing through their hair, looking excited. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/3rd-grade/L.3.1i,G3_I_11.png,"Cartoon picture of a child sitting at a desk reading a book and writing in a notebook, looking focused. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
assessment/4th-grade/L.4.5b,G4_E_04.png,"Cartoon picture of a child sitting at a desk with a lightbulb above their head, having an idea while reading. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
