grade,folder,standard_id,question_id,type,expected_path,imagen_brief
K,kindergarten,RL.K.1,RL.K.1-Q3,multiple_choice,images/kindergarten/RL.K.1/RL.K.1-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Why did Emma's mom make a chocolate cake?. Standard RL.K.1."
K,kindergarten,RL.K.2,RL.K.2-Q1,multiple_choice,images/kindergarten/RL.K.2/RL.K.2-Q1.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What did Bear do right after he felt hungry?. Standard RL.K.2."
K,kindergarten,RL.K.2,RL.K.2-Q2,multiple_choice,images/kindergarten/RL.K.2/RL.K.2-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Why did Frog get on the lily pad?. Standard RL.K.2."
K,kindergarten,RL.K.2,RL.K.2-Q3,multiple_choice,images/kindergarten/RL.K.2/RL.K.2-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What was Mia's problem in the story?. Standard RL.K.2."
K,kindergarten,RL.K.2,RL.K.2-Q4,multiple_choice,images/kindergarten/RL.K.2/RL.K.2-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: How did Turtle win the race?. Standard RL.K.2."
K,kindergarten,RL.K.4,RL.K.4-Q3,multiple_choice,images/kindergarten/RL.K.4/RL.K.4-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The boat DRIFTED across the calm lake. What does DRIFTED tell us about how the boat moved?. Standard RL.K.4."
K,kindergarten,RL.K.5,RL.K.5-Q4,multiple_choice,images/kindergarten/RL.K.5/RL.K.5-Q4.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: Read the text: ""I like bugs / Big bugs, small bugs / Crawly bugs, tall bugs / I like bugs a lot!"" What makes this text sound like a poem?. Standard RL.K.5."
K,kindergarten,RL.K.6,RL.K.6-Q3,multiple_choice,images/kindergarten/RL.K.6/RL.K.6-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: A book cover says: ""Written by Maria Lopez. Illustrated by James Park."". Standard RL.K.6."
K,kindergarten,RL.K.7,RL.K.7-Q2,multiple_choice,images/kindergarten/RL.K.7/RL.K.7-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The story says, ""It was snowing outside."" If a picture showed a child wearing a warm hat and gloves, what does the picture help us know about the story?. Standard RL.K.7."
K,kindergarten,RI.K.3,RI.K.3-Q2,multiple_choice,images/kindergarten/RI.K.3/RI.K.3-Q2.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: What does the passage help us understand about how water and ice are connected?. Standard RI.K.3."
K,kindergarten,RI.K.3,RI.K.3-Q5,multiple_choice,images/kindergarten/RI.K.3/RI.K.3-Q5.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The passage says a seed needs water and sun. How are water and sun important for the seed?. Standard RI.K.3."
K,kindergarten,RI.K.4,RI.K.4-Q3,multiple_choice,images/kindergarten/RI.K.4/RI.K.4-Q3.png,"Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. Scene: The climbers worked hard to reach the mountain's peak. It was very cold and windy at the top, and they could see for miles!. Standard RI.K.4."
