lesson_id,filename,script_text,voice_direction
feedback,correct-1,"Great job!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud. Think of a soft-spoken teacher giving a pat on the back."
feedback,correct-2,"Nice!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud. Short and soft."
feedback,correct-3,"You got it!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-4,"Well done!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-5,"That's right!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-6,"Nailed it.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud. Soft satisfied tone."
feedback,correct-7,"Good work!","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-8,"Perfect.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud. Short and satisfied."
feedback,correct-9,"Wonderful.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-10,"Way to go.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-11,"Excellent.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
feedback,correct-12,"You're doing great.","Warm and calm, gentle positive feedback. Quiet indoor voice — NOT excited or loud."
