"lesson_id","filename","script_text","voice_direction"
"lessons/RF.2.3e","S1a","Some spellings are tricky. Letters hide or change sound!",""
"lessons/RF.2.3e","S1b","These are surprises English throws at us.",""
"lessons/RF.2.3e","S1c","Let us learn a few common ones.",""
"lessons/RF.2.3e","S2a","In knee, the K is silent.",""
"lessons/RF.2.3e","S2b","In lamb, the B is silent.",""
"lessons/RF.2.3e","S2c","In write, the W is silent too!",""
"lessons/RF.2.3e","S3a","When P and H team up, they make the F sound!",""
"lessons/RF.2.3e","S3b","Phone. Photo. Dolphin. All PH words that sound like F.",""
"lessons/RF.2.3e","S4a","Here is a helpful trick.",""
"lessons/RF.2.3e","S4b","When a word surprises you, write it down. Then practice it a few times!",""
"lessons/RF.2.3e","S4c","Now you are ready to read tricky spellings!",""
