lesson_id,filename,script_text,voice_direction
words,a.mp3,"A","Say just the letter name 'A' (as in 'ay') clearly and naturally:"
words,b.mp3,"B","Say just the letter name 'B' (as in 'bee') clearly and naturally:"
words,c.mp3,"C","Say just the letter name 'C' (as in 'see') clearly and naturally:"
words,d.mp3,"D","Say just the letter name 'D' (as in 'dee') clearly and naturally:"
words,e.mp3,"E","Say just the letter name 'E' (as in 'ee') clearly and naturally:"
words,big.mp3,"Big","Say the word 'big' clearly, rhyming with 'pig'. Not 'beg':"
words,pig.mp3,"Pig","Say this single word clearly and naturally, like a kindergarten teacher:"
words,hat.mp3,"Hat","Say this single word clearly and naturally, like a kindergarten teacher:"
words,fun.mp3,"Fun","Say this single word clearly and naturally, like a kindergarten teacher:"
words,cat.mp3,"Cat","Say this single word clearly and naturally, like a kindergarten teacher:"
words,sun.mp3,"Sun","Say this single word clearly and naturally, like a kindergarten teacher:"
words,bat.mp3,"Bat","Say this single word clearly and naturally, like a kindergarten teacher:"
words,pen.mp3,"Pen","Say this single word clearly and naturally, like a kindergarten teacher:"
words,mop.mp3,"Mop","Say this single word clearly and naturally, like a kindergarten teacher:"
words,pan.mp3,"Pan","Say this single word clearly and naturally, like a kindergarten teacher:"
words,map.mp3,"Map","Say this single word clearly and naturally, like a kindergarten teacher:"
