Folder,Filename,Prompt
kindergarten/RL.K.1,RL.K.1-Q1.png,"A very happy, fluffy brown dog with floppy ears chasing after a bright, bouncy red ball in a sunny green park. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.1,RL.K.1-Q2.png,"A cheerful cartoon girl in a bright yellow raincoat happily splashing through puddles, skipping towards a colorful, friendly-looking school building with a big clock tower. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.1,RL.K.1-Q3.png,"A delicious, tall chocolate birthday cake with exactly six brightly lit, sparkling candles on top, surrounded by colorful balloons and confetti. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.1,RL.K.1-Q4.png,"A tiny, adorable gray kitten with fluffy white paws peeking out from under a cozy, wooden porch, looking curious and playful. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.1,RL.K.1-Q5.png,"A happy grandma and a smiling boy planting sunflower seeds in a colorful garden with a bright sun. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.2,RL.K.2-Q1.png,"A happy bear finding a big jar of honey in a tree, then eating it all up with a full, happy belly. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.2,RL.K.2-Q2.png,"A cheerful frog jumping onto a bright green lily pad in a blue pond. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.2,RL.K.2-Q3.png,"A sad girl with an empty lunchbox, then her friend happily sharing a colorful sandwich with her, and the girl smiling. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.2,RL.K.2-Q4.png,"A slow but determined turtle crossing a finish line with a big ribbon, while a rabbit is fast asleep nearby. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.2,RL.K.2-Q5.png,"A bright sun shining after a rain cloud, and a vibrant, arching rainbow appearing in the sky, with happy kids looking up. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.3,RL.K.3-Q1.png,"A smiling boy and his sister walking happily together on a sunny path, carrying colorful backpacks. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.3,RL.K.3-Q2.png,"A sunny beach with soft sand, gentle waves, and a sandcastle being built by a happy child. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.3,RL.K.3-Q3.png,"A brightly colored clown juggling five glowing balls high in the air, with a child clapping and laughing in the foreground. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.3,RL.K.3-Q4.png,"A wise owl sitting on a tree branch under a big, bright full moon in a dark, starry forest. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.3,RL.K.3-Q5.png,"A fluffy, playful puppy with a wagging tail excitedly digging a hole in a green backyard and finding a big, white bone. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.4,RL.K.4-Q1.png,"A giant, friendly elephant towering over a small toy car, making the car look tiny. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.4,RL.K.4-Q2.png,"A child jumping up and down with a huge, joyful smile, surrounded by sparkling confetti. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.4,RL.K.4-Q3.png,"A small, colorful boat floating very slowly and peacefully across a calm, shimmering blue lake, with no one rowing. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.4,RL.K.4-Q4.png,"A child bundled in a warm hat, scarf, and coat, with a tiny puff of white ""breath"" visible in the cold air. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.4,RL.K.4-Q5.png,"A group of cartoon animals with wide, scared eyes and trembling bodies, running away from a loud, booming sound. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.5,RL.K.5-Q1.png,"A whimsical, tall castle with a friendly princess waving from a turret, next to a small, brightly colored flower. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.5,RL.K.5-Q2.png,"A sparkling star in the night sky, with a curious child looking up, and other stars twinkling like tiny diamonds. The child is dreaming. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.5,RL.K.5-Q3.png,"A fantastical scene with a brave knight, a friendly dragon, and a princess building a tall tower, all in a colorful, imaginative landscape. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.5,RL.K.5-Q4.png,"A happy, big ladybug and a tiny, crawly caterpillar playing together on a giant leaf, with colorful dewdrops sparkling around them. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.5,RL.K.5-Q5.png,"Three happy cartoon pigs, one standing next to a house made of straw, another next to a house made of sticks, and the third next to a sturdy house made of colorful bricks, while a big, friendly wolf tries to blow on them. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.6,RL.K.6-Q1.png,"A cheerful character happily drawing curly lines and squiggles with a giant crayon on a big, colorful scroll. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.6,RL.K.6-Q2.png,"A friendly character painting a vibrant, happy rainbow and fluffy clouds with a huge paintbrush on a canvas. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.6,RL.K.6-Q3.png,"A friendly artist character happily drawing colorful pictures with crayons on a big easel. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.6,RL.K.6-Q4.png,"A happy character carefully placing many different colorful thoughts and ideas into a swirling, magical pot. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.6,RL.K.6-Q5.png,"A whimsical character with a big imagination, dreaming up fantastic creatures and adventures, with thought bubbles showing the scenes. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.7,RL.K.7-Q1.png,"A sad little girl character with big tears rolling down her cheeks, looking very upset. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.7,RL.K.7-Q2.png,"A cozy, snowy outdoor scene with gentle snowflakes falling, a happy snowman, and a child bundled in a warm coat. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.7,RL.K.7-Q3.png,"A super fun party scene with colorful balloons, a yummy cake with candles, and happy kids laughing and playing. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.7,RL.K.7-Q4.png,"A playful fluffy cat character peeking out from under a cozy bed, with just its eyes and whiskers visible. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.7,RL.K.7-Q5.png,"A confused little animal looking at a blurry shape, then a clear, bright picture of a juicy apple appearing, making the animal smile and understand. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.9,RL.K.9-Q1.png,"A big, happy bear character happily eating a jar of golden honey, next to a sleek cat character happily lapping up a bowl of white milk. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.9,RL.K.9-Q2.png,"A fluffy rabbit character hopping on the forest floor, and a bushy-tailed squirrel character climbing a tall tree, both in a vibrant green forest. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.9,RL.K.9-Q3.png,"A little girl character and a little boy character, both looking a little bit worried in a slightly dark room, with big, friendly monster shadows on the wall. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.9,RL.K.9-Q4.png,"Three happy little pig characters building a sturdy brick house, while a big, huffing wolf character tries to blow it down with a funny puffed-up face. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RL.K.9,RL.K.9-Q5.png,"A little girl character with tears in her eyes holding an empty hand, next to a little boy character happily searching under a sofa for a lost toy. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.1,RI.K.1-Q1.png,"Happy, buzzing bee characters flying around a golden beehive, with delicious golden honey oozing out. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.1,RI.K.1-Q2.png,"A beautiful, sparkling blue planet character, mostly covered in swirling blue water, with a few green land patches visible. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.1,RI.K.1-Q3.png,"A happy child character brushing their teeth in the morning sun, and then the same child character brushing their teeth again under a starry night sky. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.1,RI.K.1-Q4.png,"Friendly penguin characters waddling on a vast, sparkling white ice floe, with snowy mountains and a chilly blue ocean in the background. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.1,RI.K.1-Q5.png,"A happy green plant character with its roots in rich brown soil, soaking up bright yellow sunlight, and drinking drops of blue water. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.2,RI.K.2-Q1.png,"A big, friendly red apple character, a green apple character, and a yellow apple character all smiling happily on a tree branch. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.2,RI.K.2-Q2.png,"A collection of happy, playful dog characters of different shapes and sizes, wagging their tails and playing together. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.2,RI.K.2-Q3.png,"A giant, friendly, smiling sun character shining brightly over a happy green earth, with plants growing tall and children playing. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
kindergarten/RI.K.2,RI.K.2-Q4.png,"A big, shiny red fire truck character with its ladder extended, and a friendly firefighter character next to it, holding a hose. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters."
