Folder,Filename,Prompt
logo-mocks,31-vanta-clean-three-quarter.png,"A premium minimalist chibi cartoon white bunny mascot in a soft three-quarter angle pose, head tilted slightly, holding a small deep-indigo book at chest level. Bright pink inner ears, two simple round dark navy eyes, no other facial details, soft cream-white body. Vector-perfect with crisp clean dark navy outlines, flat color blocks only, no painterly shading. Sophisticated Vanta-style enterprise minimalism applied to a kid's reading brand. Centered on a soft cream background. No text, no words, no letters."
logo-mocks,32-vanta-dark-circle-badge.png,"A premium app icon: a perfectly circular badge with a subtle deep-navy to indigo vertical gradient. Inside, a clean chibi bunny mascot in three-quarter angle pose holding a small book, rendered in cream-white with bright pink inner ears. Crisp vector lines, flat color, no detailed shading. Centered on a clean white background, soft drop shadow under the badge. Vanta-style premium enterprise polish for an edtech brand. No text, no words, no letters."
logo-mocks,33-vanta-monochrome-navy.png,"A premium minimalist chibi cartoon bunny mascot in a soft three-quarter angle pose, head tilted slightly, holding a small book at chest level. Rendered entirely in a single deep navy color on a clean cream background — monochrome silhouette with crisp vector edges, flat negative-space details for the eyes and inner ears. Vanta-level enterprise minimalism. No additional colors, no shading, no text, no words, no letters."
logo-mocks,34-vanta-head-only.png,"A premium minimalist chibi bunny head mascot, three-quarter front-angle view. Just the head and two ears, no body, no book. Bright pink inner ears, two tiny round navy eyes, no nose detail, no mouth — minimalist iconic face. Crisp clean dark navy outlines, flat cream-white head, soft cream rounded-square background. Vanta-style polished brand mark suitable as an app icon. No text, no words, no letters."
logo-mocks,35-vanta-subtle-gradient-bunny.png,"A premium chibi cartoon bunny mascot in three-quarter angle pose holding a small book, rendered with a soft subtle indigo-to-violet vertical gradient on the bunny body, bright pink inner ears, deep navy minimalist face. Crisp vector outline, no painterly shading, modern flat-with-gradient brand-mark style. Centered on a clean white background. Vanta-portfolio enterprise polish for kids reading app. No text, no words, no letters."
logo-mocks,36-vanta-line-art-three-quarter.png,"A premium minimalist line-art chibi cartoon bunny mascot in three-quarter angle pose holding a small book, drawn with a single bold flowing dark navy line. Pink inner ear color blocks as the only color accent, otherwise pure line work on a clean cream background. Sophisticated Vanta-style minimalism — a brand mark you'd see on a Series B fintech but applied to a children's reading app. No fill, no shading, no text, no words, no letters."
logo-mocks,37-vanta-rounded-square-mark.png,"A premium app icon: soft cream rounded-square background with a chibi cartoon bunny mascot centered inside, three-quarter angle, holding a small book. Crisp clean dark navy outlines, flat color blocks only, bright pink inner ears, two tiny dot eyes. Subtle inner shadow on the rounded square edge. Premium enterprise edtech brand mark, Vanta-level polish. No text, no words, no letters."
logo-mocks,38-vanta-emblem-style.png,"A premium minimalist emblem-style brand mark: a chibi cartoon bunny in three-quarter angle pose holding a small book, contained inside a soft thin circular outline frame. Deep navy linework, flat cream body, pink inner ears. Modern Vanta-style enterprise crest-meets-startup feel. Centered on a clean white background. Crisp vector quality, no shading. No text, no words, no letters."
logo-mocks,39-vanta-minimal-flat-shapes.png,"A premium chibi bunny mascot built from a few flat geometric shapes: rounded white head, two long indigo ears with pink inner accents, small round body, holding a thin rectangular book in front. Three-quarter angle pose. No outline strokes — pure overlapping flat shapes only. Clean cream background. Vanta-style modern flat brand identity. No text, no words, no letters."
logo-mocks,40-vanta-deep-navy-palette.png,"A premium chibi cartoon bunny mascot in three-quarter angle pose, holding a small book. Rendered in a sophisticated palette: deep midnight navy outline, cream-white body, soft dusty rose inner ears (instead of bright pink), deep indigo book. Crisp vector quality, flat color blocks, no painterly shading. Centered on a soft cream background. Vanta-grade premium enterprise polish — a kid's reading brand styled like a Series B SaaS. No text, no words, no letters."
