"lesson_id","filename","script_text","voice_direction"
"4th-grade/RL.4.1","RL.4.1-Q1","Elena clutched her telescope and crept onto the rooftop. The city lights dimmed the stars, but she knew exactly where to look. At 9:47 PM, a streak of light raced across the sky — the comet her grandfather had told her about.. What can you infer about Elena's grandfather? He shared his knowledge of astronomy with Elena. He doesn't like stars. He has never seen a comet. He lives on the rooftop.",""
"4th-grade/RL.4.1","RL.4.1-Q2","The letter had been folded and refolded so many times that the creases were soft as fabric. Marcus kept it in his front pocket, close to his chest, even though he'd memorized every word.. What can you infer about how Marcus feels about the letter? He wants to throw it away. It's extremely important and meaningful to him. He just received it today. He can't read it.",""
"4th-grade/RL.4.1","RL.4.1-Q3","Priya practiced her free throws every morning before school and every evening after dinner. On the day of tryouts, she was the only one who made all ten shots.. What detail from the text BEST supports the idea that hard work pays off? She goes to school. She shoots free throws. She practiced before school and after dinner. She went to tryouts.",""
"4th-grade/RL.4.1","RL.4.1-Q4","Dad hadn't said a word during the entire drive home. He gripped the steering wheel tightly, and his jaw was clenched. When they pulled into the driveway, he finally sighed and said, ""We'll talk about this inside."". What can you infer about Dad's mood? He's happy and excited. He's tired from driving. He's hungry. He's upset or frustrated about something.",""
"4th-grade/RL.4.1","RL.4.1-Q5","The old bookshop smelled of leather and dust. Mrs. Tanaka knew every book by heart — where it sat, what it was about, who had loved it last. When the city announced the building would be torn down, she simply said, ""Books always find a new home."". What does Mrs. Tanaka's response reveal about her character? She's optimistic and resilient even in difficult times. She wants a new building. She doesn't like books. She doesn't care about the bookshop.",""
"4th-grade/RL.4.2","RL.4.2-Q1","Kai wanted to win the science fair more than anything. He worked alone, refusing help from his classmates. His project looked impressive but had a major flaw he hadn't noticed. Meanwhile, the team next to him — who had shared ideas and caught each other's mistakes — won first place.. What is the theme? Working alone is always best. Collaboration leads to better results than working alone. Science fairs are unfair. Winning is everything.",""
"4th-grade/RL.4.2","RL.4.2-Q2","Amara was embarrassed by her grandmother's accent and old-fashioned clothes. She asked Grandma not to come to the school play. After the show, Amara saw her classmates laughing with their grandparents and felt a deep ache. She called Grandma that night and said, ""Next time, front row."". What is the theme? Clothes matter more than people. Grandparents shouldn't visit schools. Don't be ashamed of your family — appreciate them. School plays are boring.",""
"4th-grade/RL.4.2","RL.4.2-Q3","A theme is different from a topic because — A theme is always stated directly. There's no difference. A theme is one word like 'friendship'. A theme is the message or lesson, while a topic is just the subject.",""
"4th-grade/RL.4.2","RL.4.2-Q4","The tiny seed was carried by the wind past tall trees and mighty oaks. It landed in a crack between two rocks where nothing grew. But the seed pushed through anyway, and years later it became the only tree on that rocky hill.. What is the theme? Determination can help you thrive even in difficult conditions. Seeds need good soil. Trees are stronger than rocks. Wind is powerful.",""
"4th-grade/RL.4.2","RL.4.2-Q5","Which is the BEST summary of a story? Just the ending. A brief retelling of the main character, problem, key events, and resolution. A copy of the first paragraph. A list of every single event that happened.",""
"4th-grade/RL.4.3","RL.4.3-Q1","Coach Reyes never raised her voice. When a player made a mistake, she'd kneel down, look them in the eye, and say, ""Tell me what you were thinking."" By season's end, every player said she was the best coach they'd ever had.. Which word BEST describes Coach Reyes? Strict. Impatient. Respectful. Careless.",""
"4th-grade/RL.4.3","RL.4.3-Q2","The marketplace buzzed with voices in a dozen languages. Spices piled in colorful mountains — saffron yellow, paprika red, turmeric orange. Somewhere a radio played scratchy music, and the smell of roasting lamb drifted through the narrow aisles.. The author uses these details to create a setting that feels — Modern and high-tech. Quiet and lonely. Cold and frightening. Vibrant, busy, and full of sensory experiences.",""
"4th-grade/RL.4.3","RL.4.3-Q3","Jordan's hands trembled as he opened the envelope. His eyes scanned the page, then widened. He read it again. Then a third time. Then he let out a whoop so loud the neighbors"" dog started barking.. What can you infer about the letter's contents? Very good news. Bad news. A grocery list. A homework assignment.",""
"4th-grade/RL.4.3","RL.4.3-Q4","When describing a character in depth, you should include — Just their name and age. Their traits, motivations, thoughts, words, and actions. Only what other characters say about them. Only what they look like.",""
"4th-grade/RL.4.3","RL.4.3-Q5","The abandoned lighthouse stood at the edge of the cliff, its paint peeling like sunburned skin. Waves crashed against the rocks below, sending spray twenty feet into the air. Inside, the spiral staircase groaned under the weight of years.. The setting creates a mood that is — Busy and crowded. Cheerful and bright. Eerie and isolated. Warm and cozy.",""
"4th-grade/RL.4.4","RL.4.4-Q1","She had the Midas touch — every business she started turned into gold.. This allusion to King Midas means — She was a queen. She was greedy. She literally turned things to gold. Everything she did became successful.",""
"4th-grade/RL.4.4","RL.4.4-Q2","Cleaning out the garage was a Herculean task.. This allusion to Hercules means the task was — Extremely difficult and required great effort. Impossible to start. Easy and quick. Fun and entertaining.",""
"4th-grade/RL.4.4","RL.4.4-Q3","The morning light tiptoed through the curtains.. What does tiptoed suggest about the light? It was nighttime. It entered gently and softly. It was very bright and harsh. The curtains were open.",""
"4th-grade/RL.4.4","RL.4.4-Q4","His Achilles"" heel was his temper — it always got him into trouble.. An Achilles heel"" refers to — A type of shoe. A battle strategy. A person's greatest weakness or vulnerability. A foot injury.",""
"4th-grade/RL.4.4","RL.4.4-Q5","The silence in the library was so thick you could cut it with a knife.. This phrase means — People were cooking in the library. Someone had a knife in the library. The library was noisy. The silence was intense and heavy.",""
