"lesson_id","filename","script_text","voice_direction"
"lessons/RF.2.3d","S1a","Little pieces stick on the front and back of words.",""
"lessons/RF.2.3d","S1b","The front ones are prefixes. The back ones are suffixes.",""
"lessons/RF.2.3d","S1c","Each one changes the word's meaning!",""
"lessons/RF.2.3d","S2a","UN means not. Unhappy means not happy.",""
"lessons/RF.2.3d","S2b","RE means again. Redo means do again.",""
"lessons/RF.2.3d","S3a","ER means one who does. Teacher means one who teaches.",""
"lessons/RF.2.3d","S3b","LY turns a word into how. Quickly means in a quick way.",""
"lessons/RF.2.3d","S4a","Here is a helpful trick.",""
"lessons/RF.2.3d","S4b","When you meet a long word, peel off the prefix and suffix. Find the root!",""
"lessons/RF.2.3d","S4c","Now you are ready to read prefixes and suffixes!",""
