"lesson_id","filename","script_text","voice_direction"
"4th-grade/RL.4.1","RL.4.1-Q1-incorrect","The correct answer is He shared his knowledge of astronomy with Elena.",""
"4th-grade/RL.4.1","RL.4.1-Q2-incorrect","The correct answer is It's extremely important and meaningful to him.",""
"4th-grade/RL.4.1","RL.4.1-Q3-incorrect","The correct answer is She practiced before school and after dinner.",""
"4th-grade/RL.4.1","RL.4.1-Q4-incorrect","The correct answer is He's upset or frustrated about something.",""
"4th-grade/RL.4.1","RL.4.1-Q5-incorrect","The correct answer is She's optimistic and resilient even in difficult times.",""
"4th-grade/RL.4.2","RL.4.2-Q1-incorrect","The correct answer is Collaboration leads to better results than working alone.",""
"4th-grade/RL.4.2","RL.4.2-Q2-incorrect","The correct answer is Don't be ashamed of your family — appreciate them.",""
"4th-grade/RL.4.2","RL.4.2-Q3-incorrect","The correct answer is A theme is the message or lesson, while a topic is just the subject.",""
"4th-grade/RL.4.2","RL.4.2-Q4-incorrect","The correct answer is Determination can help you thrive even in difficult conditions.",""
"4th-grade/RL.4.2","RL.4.2-Q5-incorrect","The correct answer is A brief retelling of the main character, problem, key events, and resolution.",""
"4th-grade/RL.4.3","RL.4.3-Q1-incorrect","The correct answer is Respectful.",""
"4th-grade/RL.4.3","RL.4.3-Q2-incorrect","The correct answer is Vibrant, busy, and full of sensory experiences.",""
"4th-grade/RL.4.3","RL.4.3-Q3-incorrect","The correct answer is Very good news.",""
"4th-grade/RL.4.3","RL.4.3-Q4-incorrect","The correct answer is Their traits, motivations, thoughts, words, and actions.",""
"4th-grade/RL.4.3","RL.4.3-Q5-incorrect","The correct answer is Eerie and isolated.",""
"4th-grade/RL.4.4","RL.4.4-Q1-incorrect","The correct answer is Everything she did became successful.",""
"4th-grade/RL.4.4","RL.4.4-Q2-incorrect","The correct answer is Extremely difficult and required great effort.",""
"4th-grade/RL.4.4","RL.4.4-Q3-incorrect","The correct answer is It entered gently and softly.",""
"4th-grade/RL.4.4","RL.4.4-Q4-incorrect","The correct answer is A person's greatest weakness or vulnerability.",""
"4th-grade/RL.4.4","RL.4.4-Q5-incorrect","The correct answer is The silence was intense and heavy.",""
"4th-grade/RL.4.5","RL.4.5-Q1-incorrect","The correct answer is Stage directions.",""
"4th-grade/RL.4.5","RL.4.5-Q3-incorrect","The correct answer is In plays, the character's name appears before their lines; novels use quotation marks.",""
"4th-grade/RL.4.5","RL.4.5-Q4-incorrect","The correct answer is Meter and rhyme scheme.",""
"4th-grade/RL.4.6","RL.4.6-Q1-incorrect","The correct answer is First person.",""
"4th-grade/RL.4.6","RL.4.6-Q2-incorrect","The correct answer is Third person.",""
