Folder,Filename,Prompt
logo-mocks,11-monogram-r.png,"A premium minimalist app icon for a children's reading edtech brand. Bold geometric letter R as the central symbol, constructed from clean flat shapes, with a subtle horizontal line cutting through the counter of the R suggesting a line of text. Solid deep indigo on a soft cream rounded-square background. Vector-perfect, no shading, no illustration, no character, no mascot. Sequoia-portfolio startup brand mark style, like Linear or Notion. No text, no words, no letters other than the single stylized R."
logo-mocks,12-open-book-mark.png,"A premium minimalist abstract symbol for a children's reading app. An open book reduced to two simple geometric trapezoid shapes meeting at a center spine, forming a clean V or chevron. Solid deep indigo and soft violet, two colors only. Centered on a soft cream rounded-square background. Vector-perfect, flat, no shading, no illustration. Modern Sequoia-portfolio edtech brand mark, like Brilliant or Quizlet. No text, no words, no letters."
logo-mocks,13-bunny-ears-monogram.png,"A premium minimalist app icon: a bold geometric letter R where the top of the R subtly curves up into two small rounded peaks suggesting bunny ears, but reading primarily as a sophisticated letterform. Solid deep indigo on a soft cream rounded-square background. Vector-perfect, no shading, no character illustration. Modern startup monogram, Sequoia-backed feel. Clever hidden mascot detail. No text, no words other than the single stylized R."
logo-mocks,14-page-stack.png,"A premium minimalist abstract symbol: three clean horizontal layered shapes resembling stacked pages of a book, each layer offset slightly with a soft drop shadow. Indigo, violet, and soft lavender — three layers. Centered on a clean white background. Vector-perfect, flat geometric, no illustration, no character. Modern edtech brand mark like Notion's logo composition. No text, no words, no letters."
logo-mocks,15-speech-bubble-page.png,"A premium minimalist app icon: a clean rounded speech bubble shape with a single horizontal line inside suggesting a line of text or reading. Solid violet bubble on a soft cream rounded-square background. Vector-perfect, flat, no shading, no character. Modern conversational reading-app brand mark, Sequoia-backed startup feel. No text, no words, no letters."
logo-mocks,16-eye-and-page.png,"A premium minimalist abstract symbol: a simple geometric eye shape, where the iris is replaced by a tiny open book or two page-like rectangles. Solid deep indigo line work on a soft cream background. Vector-perfect, flat geometric, no illustration. Modern edtech brand mark suggesting close attentive reading. No text, no words, no letters."
logo-mocks,17-circle-r-badge.png,"A premium minimalist app icon: a perfectly circular badge filled with a soft indigo-to-violet vertical gradient, with a single bold geometric letter R centered in clean white inside it. Soft drop shadow. Centered on a clean white background. Vector-perfect, modern Sequoia-portfolio app icon style. No text, no words other than the single R."
logo-mocks,18-pages-as-wings.png,"A premium minimalist abstract symbol: an open book whose two pages curve gently upward like soft wings or a paper airplane. Solid violet shape with a deeper indigo center spine, suggesting reading taking flight. Centered on a clean white background. Vector-perfect, flat geometric, no character, no illustration, no shading. Modern edtech brand mark. No text, no words, no letters."
logo-mocks,19-three-line-smile.png,"A premium minimalist abstract symbol: three short clean horizontal lines stacked, with the bottom line curving up at the ends into a subtle smile shape, suggesting reading lines turning into joy. Solid deep indigo strokes on a soft cream rounded-square background. Vector-perfect, flat geometric, no illustration. Modern startup mark, Linear-level minimalism. No text, no words, no letters."
logo-mocks,20-modular-r-grid.png,"A premium minimalist app icon: a bold geometric letter R built from a small grid of square modules, like pixels or building blocks, suggesting how words are built from smaller parts. Solid deep indigo modules on a soft cream rounded-square background. Some modules slightly violet for accent. Vector-perfect, modern monogram, Sequoia-backed startup brand identity. No text, no words other than the single stylized R."
