Folder,Filename,Prompt
logo-mocks,41-circle-badge-refined-palette.png,"A premium app icon: a perfectly circular badge with a subtle deep-midnight-navy to soft-indigo vertical gradient. Inside, a refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book. Soft dusty-rose inner ears (not bright pink), two clean dot eyes, no nose detail. Crisp vector linework. Centered on a clean white background, soft drop shadow under the badge. Sophisticated Vanta-portfolio enterprise polish. No text, no words, no letters."
logo-mocks,42-cross-legged-refined.png,"A premium minimalist chibi cartoon white bunny mascot sitting cross-legged, holding a small deep-indigo open book in both paws, looking down at the book softly. Soft dusty-rose inner ears, two clean small dot eyes, no nose detail, soft pink paw pads. Crisp vector linework, deep midnight navy outlines, flat color blocks. Centered on a soft cream background. Vanta-grade premium enterprise polish for a kids reading brand. No text, no words, no letters."
logo-mocks,43-refined-head-mark.png,"A premium minimalist chibi bunny head mascot for an app icon — head and two ears only, three-quarter front-angle view. Soft dusty-rose inner ears, two tiny round dark navy eyes, the smallest hint of a tiny nose dot, no mouth. Crisp deep-navy outline, cream-white head. Centered on a soft cream rounded-square background with a subtle inner shadow on the rounded square edge. Vanta-style polished iconic brand mark. No text, no words, no letters."
logo-mocks,44-line-art-refined.png,"A premium minimalist line-art chibi cartoon white bunny mascot in three-quarter angle pose holding a small open book, drawn with a single bold flowing deep-midnight-navy line. Soft dusty-rose inner ear color blocks as the only color accent. Centered on a soft cream background. Sophisticated Vanta-portfolio brand mark for a kids reading app. No fill, no shading, no text, no words, no letters."
logo-mocks,45-wordmark-lockup.png,"A premium horizontal logo lockup: on the left, a small refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book — soft dusty-rose inner ears, deep navy outline. On the right, the wordmark 'readee' in a friendly modern rounded sans-serif font, deep midnight navy with the 'ee' at the end in soft violet. Clean cream background. Vanta-portfolio brand identity, polished and confident. The only text is the word readee."
logo-mocks,46-cream-square-badge.png,"A premium app icon: a soft cream rounded-square badge with a subtle warm gradient and a refined chibi cartoon white bunny mascot in three-quarter angle pose centered inside, holding a small deep-indigo book. Soft dusty-rose inner ears, deep navy outline, two tiny dot eyes. Clean white background outside the badge with a soft drop shadow. Sophisticated Vanta-style enterprise polish. No text, no words, no letters."
logo-mocks,47-peeking-refined.png,"A premium minimalist chibi cartoon white bunny mascot peeking over the top edge of a large open deep-indigo storybook — only the bunny's head, ears and paws visible above the book. Soft dusty-rose inner ears, two clean dot eyes, no other facial details. Crisp deep-navy outline, flat color blocks. Centered on a soft cream rounded-square background. Vanta-grade enterprise polish, perfect as an app icon. No text, no words, no letters."
logo-mocks,48-magnifier-refined.png,"A premium minimalist chibi cartoon white bunny mascot holding up a small clean deep-navy magnifying glass with both paws, looking through it curiously. Soft dusty-rose inner ears, two clean dot eyes — one slightly enlarged where the magnifying glass passes over it. Crisp deep-navy outline, flat color blocks. Centered on a soft cream background. Vanta-grade premium polish for a kids reading brand. No text, no words, no letters."
logo-mocks,49-standing-confident-refined.png,"A premium minimalist chibi cartoon white bunny mascot standing upright with paws gently clasped in front, looking forward with a small confident smile. Soft dusty-rose inner ears, two clean dot eyes, no other facial details. Crisp deep-midnight-navy outline, flat color blocks. Centered on a soft cream background. Vanta-grade premium enterprise brand mark. No text, no words, no letters."
logo-mocks,50-tiny-favicon-mark.png,"A premium minimalist chibi bunny face designed as the tiniest possible favicon mark — head and two ears only, perfectly symmetric front view. Soft dusty-rose inner ears, two small dot eyes, completely flat with no outline strokes — pure geometric overlapping shapes only. Centered on a soft cream rounded-square background. Designed to be legible at 32 pixels. Vanta-style premium brand mark. No text, no words, no letters."
