standard_id,question_number,passage_text,question_prompt,choice_1,choice_2,choice_3,choice_4,correct_answer,hint,difficulty,QA_Status,QA_Notes,Suggested_Rewrite
RL.K.1,1,"🐶 Read: ""Max the dog ran to the park. He played fetch with a red ball.""",What did Max play with?,A stick,A red ball,A bone,A toy car,A red ball,Look at the second sentence — what did Max play fetch with?,1,,,
RL.K.1,2,"🌧️ Read: ""Lily put on her yellow raincoat. She splashed in every puddle on the way to school.""",Where was Lily going?,To the park,To the store,To school,To bed,To school,Read the end of the second sentence carefully!,1,,,
RL.K.1,3,"🎂 Read: ""Today is Emma's birthday! She is turning 6. Her mom made a chocolate cake.""",How old is Emma turning?,5,6,7,8,6,The story tells you a number — what is it?,1,,,
RL.K.1,4,"🐱 Read: ""Sam found a tiny kitten under the porch. The kitten was gray with white paws. Sam named her Mittens.""",What color was the kitten?,Black with white spots,Orange and fluffy,Gray with white paws,All white,Gray with white paws,The second sentence describes what the kitten looked like.,2,,,
RL.K.1,5,"🌻 Read: ""Grandma and Ben planted sunflower seeds in the garden. They watered them every day. Soon, tall yellow flowers grew!""",Who helped Ben plant the seeds?,His mom,His dad,His grandma,His teacher,His grandma,Look at the very first word of the story!,2,,,
RL.K.2,1,"🐻 Read: ""Bear was hungry. He looked in a tree and found honey. He ate it all up and felt happy.""",Which retelling is correct?,Bear found a fish and ate it.,"Bear was hungry, found honey in a tree, and ate it.",Bear went to sleep in a cave.,Bear played with his friends.,"Bear was hungry, found honey in a tree, and ate it.","Which answer tells what happened in order — beginning, middle, and end?",1,,,
RL.K.2,2,"🐸 Read: ""Frog wanted to cross the pond. He jumped on a lily pad. The lily pad floated him to the other side!""",What happened FIRST?,Frog floated across.,Frog jumped on a lily pad.,Frog wanted to cross the pond.,Frog went home.,Frog wanted to cross the pond.,Think about what started the story — what did Frog want?,1,,,
RL.K.2,3,"🎒 Read: ""Mia forgot her lunch at home. Her friend Leo shared his sandwich with her. Mia said thank you.""",What is the BEST retelling?,Mia ate lunch alone.,Mia brought two lunches to school.,"Mia forgot her lunch, so Leo shared with her.",Leo forgot his lunch at home.,"Mia forgot her lunch, so Leo shared with her.",A good retelling includes the problem AND how it was solved.,2,,,
RL.K.2,4,"🐢 Read: ""Turtle was slow but kept walking. Rabbit ran fast and took a nap. Turtle passed Rabbit and won the race!""",What happened at the END?,Rabbit won the race.,Turtle gave up.,Turtle won the race.,They both stopped.,Turtle won the race.,Read the last sentence — who crossed the finish line?,1,,,
RL.K.2,5,"🌈 Read: ""It rained all morning. Then the sun came out. A beautiful rainbow appeared in the sky. All the kids cheered!""",What happened AFTER the sun came out?,It started raining again.,A rainbow appeared.,The kids went inside.,It got dark.,A rainbow appeared.,Look at what happened right after the sun came out.,2,,,
RL.K.3,1,"🏫 Read: ""Jake and his sister walked to school on Monday morning.""",WHO is in this story?,Jake and his mom,Jake and his sister,Jake and his dog,Jake and his teacher,Jake and his sister,Characters are the people (or animals) IN the story.,1,,,
RL.K.3,2,"🏖️ Read: ""Rosa built a sandcastle at the beach. The waves knocked it down!""",WHERE does this story take place?,At school,At the park,At the beach,At home,At the beach,The setting is WHERE the story happens. Look for a place!,1,,,
RL.K.3,3,"🎪 Read: ""Nora went to the circus with her dad. She saw a clown juggle five balls. Nora clapped and laughed.""",What is the MAJOR EVENT in this story?,Nora went to bed.,Nora saw a clown juggle at the circus.,Nora went to school.,Nora ate dinner.,Nora saw a clown juggle at the circus.,A major event is the BIG thing that happened in the story.,2,,,
RL.K.3,4,"🌙 Read: ""Owl sat on a branch in the dark forest. He hooted at the moon.""",WHEN does this story happen?,In the morning,At lunchtime,At nighttime,In the afternoon,At nighttime,What clues tell you the time? Think about 'dark' and 'moon.',2,,,
RL.K.3,5,"🐕 Read: ""Lucy and her puppy Biscuit played in the backyard. Biscuit dug a hole and found an old bone!""",Who FOUND the bone?,Lucy,Biscuit,Lucy's mom,A cat,Biscuit,Read carefully — who was digging?,1,,,
RL.K.4,1,"🐘 Read: ""The elephant was ENORMOUS. It was bigger than a car!""",What does ENORMOUS mean?,Very small,Very loud,Very big,Very fast,Very big,The next sentence gives you a clue — 'bigger than a car.',1,,,
RL.K.4,2,"😊 Read: ""After winning the game, Kai was DELIGHTED. He smiled and jumped up and down.""",What does DELIGHTED mean?,Sad,Scared,Very happy,Tired,Very happy,Think about what Kai did — he smiled and jumped!,1,,,
RL.K.4,3,"🌊 Read: ""The boat DRIFTED slowly across the calm lake.""",What does DRIFTED mean?,Sank to the bottom,Moved slowly,Flew into the air,Stopped moving,Moved slowly,The word 'slowly' right after it helps you figure it out!,2,,,
RL.K.4,4,"🥶 Read: ""It was so CHILLY outside that Ana could see her breath!""",What does CHILLY mean?,Hot,Cold,Windy,Rainy,Cold,When can you see your breath outside? When it's...?,1,,,
RL.K.4,5,"🦁 Read: ""The lion let out a mighty ROAR. All the animals ran away because they were FRIGHTENED.""",What does FRIGHTENED mean?,Hungry,Happy,Scared,Sleepy,Scared,The animals ran away — how would YOU feel if a lion roared at you?,2,,,
RL.K.5,1,📖 Which one is a STORYBOOK?,"A) ""Roses are red, violets are blue, sugar is sweet, and so are you."" B) ""Once upon a time, a princess lived in a tall castle...""",A — it's a storybook,B — it's a storybook,Both are storybooks,Neither is a storybook,B — it's a storybook,Storybooks tell a story with characters and things that happen. Which one starts like a story?,1,,,
RL.K.5,2,"🎶 Read: ""Twinkle, twinkle, little star / How I wonder what you are / Up above the world so high / Like a diamond in the sky""",What kind of text is this?,A storybook,A poem or song,A recipe,A letter,A poem or song,Does it rhyme? Does it have short lines? That's a clue!,1,,,
RL.K.5,3,,📚 A STORYBOOK usually has...,Rhyming words on every line,Characters and things that happen,Just a list of facts,Only pictures and no words,Characters and things that happen,Think about your favorite storybook — what makes it a story?,1,,,
RL.K.5,4,"✨ Read: ""I like bugs / Big bugs, small bugs / Crawly bugs, tall bugs / I like bugs a lot!""",This text is a...,Story,Poem,News report,Math problem,Poem,It has short lines and some words rhyme — that's a poem!,2,,,
RL.K.5,5,"📕 Read: ""The three little pigs built their houses. The wolf came and blew the straw house down. Then he blew the stick house down. But he could NOT blow down the brick house!""",This is a...,Poem,Storybook,Shopping list,Song,Storybook,"It has characters (pigs, wolf) and things that happen — that's a story!",1,,,
RL.K.6,1,,✏️ The person who WRITES a book is called the...,Illustrator,Author,Teacher,Reader,Author,This person uses words to tell the story.,1,,,
RL.K.6,2,,🎨 The person who DRAWS the pictures in a book is called the...,Author,Illustrator,Singer,Librarian,Illustrator,This person creates the artwork and images you see!,1,,,
RL.K.6,3,"📖 A book cover says: ""Written by Maria Lopez. Illustrated by James Park.""",Who drew the pictures?,Maria Lopez,James Park,Both of them,The reader,James Park,'Illustrated by' means 'pictures drawn by.',1,,,
RL.K.6,4,,📝 What does an AUTHOR do?,Draws the pictures,Writes the words,Reads the book out loud,Sells the book,Writes the words,An author creates the story using words.,1,,,
RL.K.6,5,"🖼️ A book says: ""By Dr. Seuss""",Dr. Seuss is the...,Illustrator,Author,Main character,Publisher,Author,'By' on a book cover usually means who wrote it!,2,,,
RL.K.7,1,"🖼️ The story says: ""The girl was very sad."" The picture shows a girl with tears on her face.",How does the picture HELP the story?,It shows us what sad looks like.,It shows a different story.,It doesn't help at all.,It shows the girl is happy.,It shows us what sad looks like.,Pictures help us SEE what the words are telling us!,1,,,
RL.K.7,2,"📖 The story says: ""It was snowing outside.""",Which picture would match this part?,🌞 A sunny beach,❄️ White snowflakes falling,🌺 Flowers blooming,🍂 Leaves falling,❄️ White snowflakes falling,The picture should show what the words describe — snow!,1,,,
RL.K.7,3,"🎉 The story says: ""Everyone clapped and cheered at the party."" The picture shows kids with balloons and a cake.",What does the picture tell us that the words DON'T?,That people clapped,That there were balloons and a cake,That it was a party,That people cheered,That there were balloons and a cake,Sometimes pictures show MORE details than the words!,2,,,
