"lesson_id","filename","script_text","voice_direction"
"lessons/RF.2.3c","S1a","Two-syllable words often have long vowel sounds.",""
"lessons/RF.2.3c","S1b","Breaking the word into pieces helps us read them.",""
"lessons/RF.2.3c","S2a","Baseball becomes base and ball.",""
"lessons/RF.2.3c","S2b","Base has a long A. The silent E makes it long.",""
"lessons/RF.2.3c","S2c","Ball has a short sound. Both pieces together? Baseball!",""
"lessons/RF.2.3c","S3a","Rainbow becomes rain and bow.",""
"lessons/RF.2.3c","S3b","Rain has the AI team. Long A sound!",""
"lessons/RF.2.3c","S3c","Bow has OW. Another long sound!",""
"lessons/RF.2.3c","S4a","Here is a helpful trick.",""
"lessons/RF.2.3c","S4b","Split. Read each piece. Then blend them back together!",""
"lessons/RF.2.3c","S4c","Now you are ready to read two-syllable long vowel words!",""
