Folder,Filename,QuestionID,Type,Prompt,Choices,Correct
pk-L1,q1.png,pk-L1-P1,practice,"Find the letter A","A | B | D | F",A
pk-L1,q2.png,pk-L1-P2,practice,"Which letter starts 'Cat'?","D | C | B | E",C
pk-L1,q3.png,pk-L1-P3,practice,"Find the letter that looks like a mountain","C | D | A | F",A
pk-L1,q4.png,pk-L1-P4,practice,"Which letter starts 'Dog'?","B | F | D | A",D
pk-L1,q5.png,pk-L1-P5,practice,"Find the letter with three arms","F | E | B | C",E
pk-L1,rq1.png,pk-L1-R1,reading,"What letter is for Apple?","B | A | C | D",A
pk-L1,rq2.png,pk-L1-R2,reading,"What animal goes with the letter C?","Dog | Fish | Cat | Elephant",Cat
pk-L1,rq3.png,pk-L1-R3,reading,"How many letters did we learn?","4 | 5 | 6 | 7",6
pk-L2,q1.png,pk-L2-P1,practice,"Find the letter with a hook at the bottom","L | I | J | G",J
pk-L2,q2.png,pk-L2-P2,practice,"Which letter starts 'House'?","G | H | K | I",H
pk-L2,q3.png,pk-L2-P3,practice,"Find the letter L","I | J | L | K",L
pk-L2,q4.png,pk-L2-P4,practice,"Which letter is like C with a shelf?","H | G | J | K",G
pk-L2,q5.png,pk-L2-P5,practice,"Which letter starts 'Kite'?","K | L | H | I",K
pk-L2,rq1.png,pk-L2-R1,reading,"What is G for?","Grapes | House | Juice | Kite",Grapes
pk-L2,rq2.png,pk-L2-R2,reading,"What flies high in the sky?","Lion | Ice cream | Kite | House",Kite
pk-L2,rq3.png,pk-L2-R3,reading,"Which letter is for something you drink?","G | J | K | L",J
pk-L3,q1.png,pk-L3-P1,practice,"Which starts like 'ball'?","bat | cat | sun | top",bat
pk-L3,q2.png,pk-L3-P2,practice,"Which starts like 'moon'?","sun | mom | top | ball",mom
pk-L3,q3.png,pk-L3-P3,practice,"Which starts like 'sun'?","ball | moon | star | tiger",star
pk-L3,q4.png,pk-L3-P4,practice,"Which starts like 'top'?","tree | ball | snake | mouse",tree
pk-L3,q5.png,pk-L3-P5,practice,"Which starts like 'bear'?","star | moon | boat | top",boat
pk-L3,rq1.png,pk-L3-R1,reading,"What sound does Bear hear?","/b/ | /m/ | /s/ | /t/",/b/
pk-L3,rq2.png,pk-L3-R2,reading,"Who hears the /m/ sound?","Bear | Snake | Mouse | Tiger",Mouse
pk-L3,rq3.png,pk-L3-R3,reading,"What is one of Snake's /s/ words?","Ball | Moon | Sun | Bat",Sun
pk-L4,q1.png,pk-L4-P1,practice,"What rhymes with 'cat'?","dog | hat | cup | sun",hat
pk-L4,q2.png,pk-L4-P2,practice,"What rhymes with 'bug'?","big | bag | hug | bed",hug
pk-L4,q3.png,pk-L4-P3,practice,"What rhymes with 'hop'?","hat | hot | top | hug",top
pk-L4,q4.png,pk-L4-P4,practice,"What rhymes with 'bed'?","bad | bid | red | rug",red
pk-L4,q5.png,pk-L4-P5,practice,"What rhymes with 'mug'?","mop | rug | mat | red",rug
pk-L4,rq1.png,pk-L4-R1,reading,"What did Cat sit on?","A rug | A mat | A bed | A mop",A mat
pk-L4,rq2.png,pk-L4-R2,reading,"What did Bug give Cat?","A hat | A mug | A hug | A bat",A hug
pk-L4,rq3.png,pk-L4-R3,reading,"Which word rhymes with 'hug'?","hat | rug | hop | bed",rug
pk-L5,q1.png,pk-L5-P1,practice,"Which is the lowercase of A?","b | d | a | m",a
pk-L5,q2.png,pk-L5-P2,practice,"Which is the uppercase of b?","D | B | A | M",B
pk-L5,q3.png,pk-L5-P3,practice,"Which is the lowercase of D?","b | a | d | s",d
pk-L5,q4.png,pk-L5-P4,practice,"Which is the uppercase of m?","M | B | D | S",M
pk-L5,q5.png,pk-L5-P5,practice,"Which is the lowercase of S?","a | s | m | d",s
pk-L5,rq1.png,pk-L5-R1,reading,"What is Big A compared to?","A pebble | A mountain | A ball | A star",A mountain
pk-L5,rq2.png,pk-L5-R2,reading,"How many bumps does Big B have?","1 | 2 | 3 | 0",2
pk-L5,rq3.png,pk-L5-R3,reading,"Every letter has a what?","A friend | A color | A twin | A number",A twin
pk-L6,q1.png,pk-L6-P1,practice,"Find the letter with two humps","N | M | P | R",M
pk-L6,q2.png,pk-L6-P2,practice,"Which letter is a perfect circle?","Q | P | O | R",O
pk-L6,q3.png,pk-L6-P3,practice,"Which letter starts 'Penguin'?","Q | R | N | P",P
pk-L6,q4.png,pk-L6-P4,practice,"Which letter has a little tail?","O | Q | P | M",Q
pk-L6,q5.png,pk-L6-P5,practice,"Which letter starts 'Rocket'?","P | N | R | M",R
pk-L6,rq1.png,pk-L6-R1,reading,"Which letter is for something round?","M | O | P | R",O
pk-L6,rq2.png,pk-L6-R2,reading,"What does the queen wear?","A hat | A crown | A scarf | Glasses",A crown
pk-L6,rq3.png,pk-L6-R3,reading,"Which way does the rocket go?","Down | Left | Up | Sideways",Up
pk-L7,q1.png,pk-L7-P1,practice,"Which letter curves like a snake?","Z | S | W | V",S
pk-L7,q2.png,pk-L7-P2,practice,"Which letter is two V's together?","X | Y | W | U",W
pk-L7,q3.png,pk-L7-P3,practice,"Which letter starts 'Zebra'?","S | X | Y | Z",Z
pk-L7,q4.png,pk-L7-P4,practice,"Which letter looks like a cup?","V | U | W | Y",U
pk-L7,q5.png,pk-L7-P5,practice,"Which letter has two crossing lines?","T | Y | X | V",X
pk-L7,rq1.png,pk-L7-R1,reading,"What is the very last letter?","X | Y | Z | W",Z
pk-L7,rq2.png,pk-L7-R2,reading,"What is the biggest animal mentioned?","Zebra | Whale | Bird | Snake",Whale
pk-L7,rq3.png,pk-L7-R3,reading,"How many letters are in the whole alphabet?","20 | 24 | 26 | 30",26
k-L1,q1.png,k-L1-P1,practice,"What sound does B make?","/b/ like bat | /d/ like dog | /g/ like goat | /h/ like hat",/b/ like bat
k-L1,q2.png,k-L1-P2,practice,"What sound does F make?","/b/ like bat | /f/ like fan | /g/ like goat | /h/ like hat",/f/ like fan
k-L1,q3.png,k-L1-P3,practice,"Which letter makes the /d/ sound?","B | G | D | H",D
k-L1,q4.png,k-L1-P4,practice,"Which letter makes the /k/ sound?","G | D | F | C",C
k-L1,q5.png,k-L1-P5,practice,"What sound does G make?","/f/ | /g/ | /b/ | /d/",/g/
k-L1,rq1.png,k-L1-R1,reading,"What does B play?","Flute | Drum | Guitar | Piano",Drum
k-L1,rq2.png,k-L1-R2,reading,"Which letter blows the flute?","B | D | F | G",F
k-L1,rq3.png,k-L1-R3,reading,"What sound does G make on the guitar?","Boom | Da | Ffff | Guh",Guh
k-L2,q1.png,k-L2-P1,practice,"What vowel sound is in 'cat'?","Short A | Short E | Short I | Short O",Short A
k-L2,q2.png,k-L2-P2,practice,"What vowel sound is in 'pig'?","Short A | Short I | Short O | Short U",Short I
k-L2,q3.png,k-L2-P3,practice,"What vowel sound is in 'dog'?","Short A | Short E | Short O | Short U",Short O
k-L2,q4.png,k-L2-P4,practice,"What vowel sound is in 'bed'?","Short A | Short E | Short I | Short O",Short E
k-L2,q5.png,k-L2-P5,practice,"What vowel sound is in 'cup'?","Short E | Short I | Short O | Short U",Short U
k-L2,rq1.png,k-L2-R1,reading,"How many vowel friends are there?","3 | 4 | 5 | 6",5
