"lesson_id","filename","script_text","voice_direction"
"kindergarten/RL.K.10","RL.K.10-Q1","What helps your reading get stronger?",""
"kindergarten/RL.K.10","RL.K.10-Q1-hint","A little reading every day adds up fast!",""
"kindergarten/RL.K.10","RL.K.10-Q2","What should you do when a story gets tricky?",""
"kindergarten/RL.K.10","RL.K.10-Q2-hint","Asking for help is what smart readers do!",""
"kindergarten/RL.K.10","RL.K.10-Q3","Why is it good to read different kinds of stories?",""
"kindergarten/RL.K.10","RL.K.10-Q3-hint","Different stories teach different things!",""
"kindergarten/RL.K.10","RL.K.10-Q4","When listening to a story, you should:",""
"kindergarten/RL.K.10","RL.K.10-Q4-hint","Paying attention helps you enjoy the story!",""
"kindergarten/RL.K.10","RL.K.10-Q5","A great reader is someone who:",""
"kindergarten/RL.K.10","RL.K.10-Q5-hint","Great readers love trying new stories!",""
