lesson_id,filename,script_text,voice_direction
RL.K.1,q1.mp3,<speak> Max the dog ran to the park. He played fetch with a red ball..<break time='1s'/> <emphasis level='moderate'>What did Max play with?</emphasis><break time='800ms'/> A stick? <break time='600ms'/> A red ball? <break time='600ms'/> A bone? <break time='600ms'/> or A toy car? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q1-hint.mp3,<speak>Listen to the second sentence . <break time='500ms'/> what did Max play fetch with?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q2.mp3,<speak> Lily put on her yellow raincoat. She splashed in every puddle on the way to school..<break time='1s'/> <emphasis level='moderate'>Where was Lily going?</emphasis><break time='800ms'/> To the park? <break time='600ms'/> To the store? <break time='600ms'/> To school? <break time='600ms'/> or To bed? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q2-hint.mp3,<speak>Listen to the end of the second part again.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q3.mp3,<speak> Today is Emma's birthday! She is turning 6. Her mom made a chocolate cake..<break time='1s'/> <emphasis level='moderate'>How old is Emma turning?</emphasis><break time='800ms'/> Is she turning... 5? <break time='600ms'/> 6? <break time='600ms'/> 7? <break time='600ms'/> or 8? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q3-hint.mp3,<speak>The story tells you a number — what is it?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q4.mp3,<speak> Sam found a tiny kitten under the porch. The kitten was gray with white paws. Sam named her Mittens..<break time='1s'/> <emphasis level='moderate'>What color was the kitten?</emphasis><break time='800ms'/> Black with white spots? <break time='600ms'/> Orange and fluffy? <break time='600ms'/> Gray with white paws? <break time='600ms'/> or All white? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q4-hint.mp3,<speak>The second sentence describes what the kitten looked like.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q5.mp3,"<speak> Grandma and Ben planted sunflower seeds in the garden. They watered them every day. Soon, tall yellow flowers grew!.<break time='1s'/> <emphasis level='moderate'>Who helped Ben plant the seeds?</emphasis><break time='800ms'/> His mom? <break time='600ms'/> His dad? <break time='600ms'/> His grandma? <break time='600ms'/> or His teacher? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.1,q5-hint.mp3,<speak>Listen to the very first word of the story!</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q1.mp3,<speak> Bear was hungry. He looked in a tree and found honey. He ate it all up and felt happy..<break time='1s'/> <emphasis level='moderate'>Which retelling is correct?</emphasis><break time='800ms'/> Bear found a fish and ate it? <break time='600ms'/> Bear was hungry? <break time='600ms'/> found honey in a tree? <break time='600ms'/> and ate it? <break time='600ms'/> Bear went to sleep in a cave? <break time='600ms'/> or Bear played with his friends? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q1-hint.mp3,"<speak>Which answer tells what happened in order — beginning, middle, and end?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q2.mp3,<speak> Frog wanted to cross the pond. He jumped on a lily pad. The lily pad floated him to the other side!.<break time='1s'/> <emphasis level='moderate'>What happened FIRST?</emphasis><break time='800ms'/> Frog floated across? <break time='600ms'/> Frog jumped on a lily pad? <break time='600ms'/> Frog wanted to cross the pond? <break time='600ms'/> or Frog went home? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q2-hint.mp3,<speak>Think about what started the story — what did Frog want?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q3.mp3,<speak> Mia forgot her lunch at home. Her friend Leo shared his sandwich with her. Mia said thank you..<break time='1s'/> <emphasis level='moderate'>What is the BEST retelling?</emphasis><break time='800ms'/> Mia ate lunch alone? <break time='600ms'/> Mia brought two lunches to school? <break time='600ms'/> Mia forgot her lunch? <break time='600ms'/> so Leo shared with her? <break time='600ms'/> or Leo forgot his lunch at home? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q3-hint.mp3,<speak>A good retelling includes the problem AND how it was solved.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q4.mp3,<speak> Turtle was slow but kept walking. Rabbit ran fast and took a nap. Turtle passed Rabbit and won the race!.<break time='1s'/> <emphasis level='moderate'>What happened at the END?</emphasis><break time='800ms'/> Rabbit won the race? <break time='600ms'/> Turtle gave up? <break time='600ms'/> Turtle won the race? <break time='600ms'/> or They both stopped? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q4-hint.mp3,<speak>Listen to the last sentence . <break time='500ms'/> who crossed the finish line?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q5.mp3,<speak> It rained all morning. Then the sun came out. A beautiful rainbow appeared in the sky. All the kids cheered!.<break time='1s'/> <emphasis level='moderate'>What happened AFTER the sun came out?</emphasis><break time='800ms'/> It started raining again? <break time='600ms'/> A rainbow appeared? <break time='600ms'/> The kids went inside? <break time='600ms'/> or It got dark? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.2,q5-hint.mp3,<speak>Look at what happened right after the sun came out.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.3,q1.mp3,<speak> Jake and his sister walked to school on Monday morning..<break time='1s'/> <emphasis level='moderate'>WHO is in this story?</emphasis><break time='800ms'/> Jake and his mom? <break time='600ms'/> Jake and his sister? <break time='600ms'/> Jake and his dog? <break time='600ms'/> or Jake and his teacher? <break time=\'400ms\'/> What do you think?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.K.3,q1-hint.mp3,<speak>Characters are the people (or animals) IN the story.</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
