Folder,Filename,Prompt
logo-mocks,01-classic-refresh.png,"A cheerful cartoon white bunny mascot with bright pink inner ears, big friendly dark navy eyes, sitting upright and holding open a small purple storybook with both paws. Bold clean dark navy outlines, soft flat colors, indigo and violet color palette. Centered on a clean white background. Premium minimal kid-app logo style. No text, no words, no letters."
logo-mocks,02-three-quarter.png,"A cheerful cartoon white bunny mascot in a three-quarter angle pose, head tilted slightly, holding a small purple book at chest level. Bright pink inner ears, big friendly dark navy eyes, soft cream-white body. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Modern kid-app logo style. No text, no words, no letters."
logo-mocks,03-peeking-over-book.png,"A cheerful cartoon white bunny mascot peeking over the top edge of a large open purple storybook — only the bunny's eyes, ears, and forehead visible above the book. Bright pink inner ears, big curious dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Friendly kid-app mascot style. No text, no words, no letters."
logo-mocks,04-magnifying-glass.png,"A cheerful cartoon white bunny mascot holding up a small magnifying glass with both paws, looking through it curiously. Bright pink inner ears, big bright dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette with a gold magnifying glass rim. Centered on a clean white background. Modern kid-app mascot style. No text, no words, no letters."
logo-mocks,05-jumping-joyful.png,"A cheerful cartoon white bunny mascot mid-jump with arms raised in joy, a small purple book held in one paw. Ears bouncing upward, big happy dark navy eyes, bright pink inner ears. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Energetic kid-app mascot style. No text, no words, no letters."
logo-mocks,06-on-book-stack.png,"A cheerful cartoon white bunny mascot sitting cross-legged on top of a small neat stack of three purple books, smiling warmly. Bright pink inner ears, big friendly dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Cozy kid-app mascot style. No text, no words, no letters."
logo-mocks,07-stars-and-sparkles.png,"A cheerful cartoon white bunny mascot reading an open purple storybook with small soft violet sparkles and stars floating gently around its head. Bright pink inner ears, big dreamy dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Magical kid-app mascot style. No text, no words, no letters."
logo-mocks,08-minimal-line-art.png,"A minimalist single-color line-art cartoon white bunny mascot holding a small open book, drawn with one continuous flowing dark navy line on a clean white background. Pink ears as the only color accent. Modern premium logo style. No fill, no shading, no text, no words, no letters."
logo-mocks,09-confident-standing.png,"A cheerful cartoon white bunny mascot standing upright with paws on hips in a confident superhero stance, small purple book tucked under one arm. Bright pink inner ears, big determined dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Empowering kid-app mascot style. No text, no words, no letters."
logo-mocks,10-letter-blocks.png,"A cheerful cartoon white bunny mascot sitting next to three colorful wooden alphabet blocks (one purple, one blue, one violet), one paw resting playfully on a block. Bright pink inner ears, big curious dark navy eyes. Bold clean dark navy outlines, flat indigo and violet palette. Centered on a clean white background. Playful kid-app mascot style. The blocks have NO letters or symbols on them — solid colored blank cubes only. No text, no words, no letters."
