"lesson_id","filename","script_text","voice_direction"
"1st-grade/RL.1.1","RL.1.1-Q1-incorrect","The correct answer is Three.",""
"1st-grade/RL.1.1","RL.1.1-Q2-incorrect","The correct answer is On a lily pad.",""
"1st-grade/RL.1.1","RL.1.1-Q3-incorrect","The correct answer is Her friend Jake.",""
"1st-grade/RL.1.1","RL.1.1-Q4-incorrect","The correct answer is Blueberries.",""
"1st-grade/RL.1.1","RL.1.1-Q5-incorrect","The correct answer is Scared.",""
"1st-grade/RL.1.2","RL.1.2-Q1-incorrect","The correct answer is Practice helps you get better.",""
"1st-grade/RL.1.2","RL.1.2-Q2-incorrect","The correct answer is Sharing is important.",""
"1st-grade/RL.1.2","RL.1.2-Q3-incorrect","The correct answer is It is good to plan ahead.",""
"1st-grade/RL.1.2","RL.1.2-Q4-incorrect","The correct answer is Leo kept falling.",""
"1st-grade/RL.1.2","RL.1.2-Q5-incorrect","The correct answer is Lying makes you feel bad.",""
"1st-grade/RL.1.3","RL.1.3-Q1-incorrect","The correct answer is By the sea.",""
"1st-grade/RL.1.3","RL.1.3-Q2-incorrect","The correct answer is Kind.",""
"1st-grade/RL.1.3","RL.1.3-Q3-incorrect","The correct answer is A dark, stormy barn.",""
"1st-grade/RL.1.3","RL.1.3-Q4-incorrect","The correct answer is Rosa found a lost puppy.",""
"1st-grade/RL.1.3","RL.1.3-Q5-incorrect","The correct answer is He goes from grumpy to happy.",""
"1st-grade/RL.1.4","RL.1.4-Q1-incorrect","The correct answer is Bright.",""
"1st-grade/RL.1.4","RL.1.4-Q2-incorrect","The correct answer is Sad or scared.",""
"1st-grade/RL.1.4","RL.1.4-Q3-incorrect","The correct answer is Sweet and warm.",""
"1st-grade/RL.1.4","RL.1.4-Q4-incorrect","The correct answer is Angry.",""
"1st-grade/RL.1.4","RL.1.4-Q5-incorrect","The correct answer is Soft and fluffy.",""
"1st-grade/RL.1.5","RL.1.5-Q3-incorrect","The correct answer is They have made-up characters and events.",""
"1st-grade/RL.1.5","RL.1.5-Q4-incorrect","The correct answer is They teach real facts.",""
"1st-grade/RL.1.6","RL.1.6-Q1-incorrect","The correct answer is The child (I).",""
"1st-grade/RL.1.6","RL.1.6-Q2-incorrect","The correct answer is A narrator outside the story.",""
