"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3e","RF.1.3e-Q1","How do you break napkin into syllables?",""
"1st-grade/RF.1.3e","RF.1.3e-Q1-hint","Split between the two middle consonants.",""
"1st-grade/RF.1.3e","RF.1.3e-Q2","How do you break rabbit into syllables?",""
"1st-grade/RF.1.3e","RF.1.3e-Q2-hint","Split between the two B's.",""
"1st-grade/RF.1.3e","RF.1.3e-Q3","Read each syllable separately: pen-cil. What word is this?",""
"1st-grade/RF.1.3e","RF.1.3e-Q3-hint","Put the two syllables together!",""
"1st-grade/RF.1.3e","RF.1.3e-Q4","Which word has two syllables?",""
"1st-grade/RF.1.3e","RF.1.3e-Q4-hint","Clap it out! Mit-ten has two beats.",""
"1st-grade/RF.1.3e","RF.1.3e-Q5","Break the word basket into syllables.",""
"1st-grade/RF.1.3e","RF.1.3e-Q5-hint","Split between the S and K.",""
