"lesson_id","filename","script_text","voice_direction"
"lessons/RL.K.10","S1a","Look! Reading stories every day is so much fun.",""
"lessons/RL.K.10","S1b","Each story takes you on a new adventure.",""
"lessons/RL.K.10","S1c","Let us see how to enjoy stories all year long.",""
"lessons/RL.K.10","S2a","There are so many kinds of stories!",""
"lessons/RL.K.10","S2b","Funny ones. Brave ones. Silly ones. Sweet ones.",""
"lessons/RL.K.10","S2c","Try a new kind every week. You will find favorites!",""
"lessons/RL.K.10","S3a","When someone reads to you, listen closely.",""
"lessons/RL.K.10","S3b","Look at the pictures. They are part of the story too!",""
"lessons/RL.K.10","S3c","Ask questions if something is tricky.",""
"lessons/RL.K.10","S4a","Here is a helpful trick.",""
"lessons/RL.K.10","S4b","Pick a cozy spot just for reading. Curl up there every day.",""
"lessons/RL.K.10","S4c","Now you are ready to enjoy stories all year long!",""
