"lesson_id","filename","script_text","voice_direction"
"lessons/RF.2.3","S1a","Phonics is knowing the sounds letters make.",""
"lessons/RF.2.3","S1b","When you know phonics, you can read new words all by yourself.",""
"lessons/RF.2.3","S1c","Let us grow your phonics power.",""
"lessons/RF.2.3","S2a","Most letters make one sound.",""
"lessons/RF.2.3","S2b","B buzzes. M hums. T taps.",""
"lessons/RF.2.3","S3a","Some letters team up to make one sound.",""
"lessons/RF.2.3","S3b","SH in ship. CH in chip. TH in thumb.",""
"lessons/RF.2.3","S4a","Here is a helpful trick.",""
"lessons/RF.2.3","S4b","When you see a new word, sound out each letter or letter team.",""
"lessons/RF.2.3","S4c","Now you are ready to use phonics power!",""
