Folder,Filename,Prompt
pk-L1,q1.png,"Cartoon picture of a shiny red apple with a green leaf sitting on a table. No text, no words, no letters."
pk-L1,q2.png,"Cartoon picture of a cute orange cat sitting and smiling. No text, no words, no letters."
pk-L1,q3.png,"Cartoon picture of a tall snowy mountain with a bright blue sky and green grass. No text, no words, no letters."
pk-L1,q4.png,"Cartoon picture of a happy golden dog wagging its tail in a sunny park. No text, no words, no letters."
pk-L1,q5.png,"Cartoon picture of a cute baby elephant with big floppy ears waving its trunk. No text, no words, no letters."
pk-L1,rq1.png,"Cartoon picture of a bright red apple on an open book. No text, no words, no letters."
pk-L1,rq2.png,"Cartoon picture of a cute orange tabby cat playing with a ball of yarn. No text, no words, no letters."
pk-L1,rq3.png,"Cartoon picture of a group of kids celebrating with confetti and balloons at a party. No text, no words, no letters."
pk-L2,q1.png,"Cartoon picture of a shiny fish hook dangling over blue water with a cute fish looking up. No text, no words, no letters."
pk-L2,q2.png,"Cartoon picture of a cozy house with a red roof and flowers in the front yard on a sunny day. No text, no words, no letters."
pk-L2,q3.png,"Cartoon picture of a proud lion with a big fluffy mane standing on a rock. No text, no words, no letters."
pk-L2,q4.png,"Cartoon picture of a bunch of purple grapes hanging from a vine with green leaves. No text, no words, no letters."
pk-L2,q5.png,"Cartoon picture of a colorful kite flying high in a bright blue sky with white clouds. No text, no words, no letters."
pk-L2,rq1.png,"Cartoon picture of juicy purple grapes in a wooden bowl on a picnic blanket. No text, no words, no letters."
pk-L2,rq2.png,"Cartoon picture of a red and yellow kite soaring above green trees on a windy day. No text, no words, no letters."
pk-L2,rq3.png,"Cartoon picture of a tall glass of orange juice with a bendy straw and ice cubes. No text, no words, no letters."
pk-L3,q1.png,"Cartoon picture of a cute brown bear cub playing with a red ball in a meadow. No text, no words, no letters."
pk-L3,q2.png,"Cartoon picture of a little gray mouse sitting on a glowing crescent moon in a starry night sky. No text, no words, no letters."
pk-L3,q3.png,"Cartoon picture of a bright yellow sun shining over a green field with sunflowers. No text, no words, no letters."
pk-L3,q4.png,"Cartoon picture of a friendly orange tiger cub sitting next to a tall green tree. No text, no words, no letters."
pk-L3,q5.png,"Cartoon picture of a cute bear cub sitting and thinking with a curious expression. No text, no words, no letters."
pk-L3,rq1.png,"Cartoon picture of a bear cub walking through a colorful autumn forest on an adventure. No text, no words, no letters."
pk-L3,rq2.png,"Cartoon picture of a tiny gray mouse standing next to a glass of milk on a kitchen counter. No text, no words, no letters."
pk-L3,rq3.png,"Cartoon picture of a friendly green snake slithering through a sunny garden with flowers. No text, no words, no letters."
pk-L4,q1.png,"Cartoon picture of a cute cat wearing a tall purple top hat looking fancy. No text, no words, no letters."
pk-L4,q2.png,"Cartoon picture of a happy dog and a green frog sitting together on a lily pad in a pond. No text, no words, no letters."
pk-L4,q3.png,"Cartoon picture of a glowing crescent moon next to a shiny silver spoon in a starry night sky. No text, no words, no letters."
pk-L4,q4.png,"Cartoon picture of a bright golden star shining above a small red car driving down a country road at night. No text, no words, no letters."
pk-L4,q5.png,"Cartoon picture of a cat and a bat playing together in a moonlit garden. No text, no words, no letters."
pk-L4,rq1.png,"Cartoon picture of a cat wearing a big fancy hat sitting on a stage looking proud. No text, no words, no letters."
pk-L4,rq2.png,"Cartoon picture of a silly dog sitting on top of a big green frog in a pond. No text, no words, no letters."
pk-L4,rq3.png,"Cartoon picture of a cute goldfish in a round fishbowl looking out the glass. No text, no words, no letters."
pk-L5,q1.png,"Cartoon picture of a tall adult giraffe standing next to a tiny baby giraffe to show big and small. No text, no words, no letters."
pk-L5,q2.png,"Cartoon picture of a big red balloon and a small blue balloon floating side by side. No text, no words, no letters."
pk-L5,q3.png,"Cartoon picture of a tall sunflower next to a tiny daisy in a garden showing size difference. No text, no words, no letters."
pk-L5,q4.png,"Cartoon picture of two cute puppies that look alike but one is big and one is small. No text, no words, no letters."
pk-L5,q5.png,"Cartoon picture of a big teddy bear sitting next to a small teddy bear on a shelf. No text, no words, no letters."
pk-L5,rq1.png,"Cartoon picture of a tall parent penguin looking down at a tiny baby penguin. Cute and sweet. No text, no words, no letters."
pk-L5,rq2.png,"Cartoon picture of two kittens playing together on a playground slide. No text, no words, no letters."
pk-L5,rq3.png,"Cartoon picture of a row of animals from biggest to smallest: elephant, dog, cat, mouse. No text, no words, no letters."
k-L1,q1.png,"Cartoon picture of a cute ladybug sitting on a bright green leaf in a sunny garden. No text, no words, no letters."
k-L1,q2.png,"Cartoon picture of a colorful tropical fish swimming in a coral reef with bubbles. No text, no words, no letters."
k-L1,q3.png,"Cartoon picture of a spotted puppy digging a hole in a backyard garden. No text, no words, no letters."
k-L1,q4.png,"Cartoon picture of a white goat standing on a grassy hill on a farm. No text, no words, no letters."
k-L1,q5.png,"Cartoon picture of a kid wearing a big floppy sun hat in a garden. No text, no words, no letters."
k-L1,rq1.png,"Cartoon picture of a cute bug playing a tiny drum set on a stage. No text, no words, no letters."
k-L1,rq2.png,"Cartoon picture of a fish blowing bubbles that look like musical notes underwater. No text, no words, no letters."
k-L1,rq3.png,"Cartoon picture of four cute animals playing musical instruments together as a band on a stage. No text, no words, no letters."
k-L2,q1.png,"Cartoon picture of a fluffy cat napping on a cozy mat by a sunny window. No text, no words, no letters."
k-L2,q2.png,"Cartoon picture of a cozy bed with a red blanket and fluffy pillows in a warm bedroom. No text, no words, no letters."
k-L2,q3.png,"Cartoon picture of a happy pink pig rolling in mud on a sunny farm. No text, no words, no letters."
k-L2,q4.png,"Cartoon picture of a steaming cup of hot chocolate on a wooden table by a window. No text, no words, no letters."
k-L2,q5.png,"Cartoon picture of a friendly dog lying on a rug next to a fireplace in a cozy room. No text, no words, no letters."
k-L2,rq1.png,"Cartoon picture of a red apple sitting next to a tiny cartoon ant on a picnic blanket. No text, no words, no letters."
k-L2,rq2.png,"Cartoon picture of a cute purple octopus waving all its arms in a bright ocean. No text, no words, no letters."
k-L2,rq3.png,"Cartoon picture of five colorful hot air balloons floating in a bright blue sky. No text, no words, no letters."
k-L3,q1.png,"Cartoon picture of a cute cat sitting on a colorful mat in a sunny room. No text, no words, no letters."
k-L3,q2.png,"Cartoon picture of a happy dog wagging its tail in a green park with trees. No text, no words, no letters."
k-L3,q3.png,"Cartoon picture of a kid sitting comfortably in a big beanbag chair reading a book. No text, no words, no letters."
k-L3,q4.png,"Cartoon picture of a cute ladybug crawling on a sunflower in a bright garden. No text, no words, no letters."
k-L3,q5.png,"Cartoon picture of a cute bunny hopping through a field of wildflowers. No text, no words, no letters."
