"catalogStandard","canonicalLessonId","slug","grade","declaredStandards","domain","unit","positionWithinUnit","positionMeaning","objective","exists","registered","technicalQa","curriculumApproval","productionRelease","planningEligible","roadmapCheckmark","checkpoints","relationship","mismatches","combinedStandardCandidates","sources","sourceVersion"
"RL.K.1","key-details","key-details","Kindergarten","RL.K.1","Reading Literature","K.U1","8","roadmap-standard-row-not-approved-lesson-order","You will ask and answer questions about who, what, and where in a story.","true","true","unknown","unknown","unknown","false","true","k-final; key-details-quiz; unit-1-exam","exact-declaration","multiple-lessons-declare-standard","","app/data/sample-lessons.json; app/data/lessons-v2/key-details.ts; docs/UNIT_ROADMAP.md:28","94c81696cfa4abff9cc58bfc5a2f0e072a6da88db8c7715fee0c7d14b462eeb9"
"RL.K.1","reading-detective","reading-detective","Kindergarten","RL.K.1","Reading Literature","K.U1","8","roadmap-standard-row-not-approved-lesson-order","Use clues from the story to figure out what the words don't say. That's an inference!","true","true","unknown","unknown","unknown","false","true","","exact-declaration","multiple-lessons-declare-standard","","app/data/sample-lessons.json; app/data/lessons-v2/reading-detective.ts; docs/UNIT_ROADMAP.md:28","c3735517a12bf7ea7f43ec0300636d16e77fb8f38d4e83487d6fc5cfb4caf054"
"RF.K.2a","rhyme-time","rhyme-time","Kindergarten","RF.K.2a","Foundational Skills","K.U1","5","roadmap-standard-row-not-approved-lesson-order","You will learn to find words that rhyme.","true","true","unknown","unknown","unknown","false","true","k-final; rhyme-time-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/rhyme-time.ts; docs/UNIT_ROADMAP.md:25","c918ad7261d6c663addba61e8e6709f613c5f412cfcf5224fc4c11f0ac947037"
"RI.K.1","fact-finder-basics","fact-finder-basics","Kindergarten","RI.K.1","Reading Informational Text","K.U4","1","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about facts.","true","true","unknown","unknown","unknown","false","true","fact-finder-basics-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-finder-basics.ts; docs/UNIT_ROADMAP.md:63","5376eb9b06de6c03a2c88e90ac742778833e62bac04baa83540b2e8becac4cc5"
"RL.K.2","tell-it-back","tell-it-back","Kindergarten","RL.K.2","Reading Literature","K.U2","6","roadmap-standard-row-not-approved-lesson-order","I can tell what happened at the beginning, middle, and end of a story.","true","true","unknown","unknown","unknown","false","true","k-final; tell-it-back-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/tell-it-back.ts; docs/UNIT_ROADMAP.md:42","da2339432f4ebd894b4f401cbd3128d9762e900b93692114aa70763303a4b83f"
"RL.K.3","story-elements","story-elements","Kindergarten","RL.K.3","Reading Literature","K.U1","9","roadmap-standard-row-not-approved-lesson-order","Characters are WHO a story is about. The setting is WHERE it happens. Events happen in order.","true","true","unknown","unknown","unknown","false","true","","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-elements.ts; docs/UNIT_ROADMAP.md:29","76fd29edba9e9d33cb7c7b36da6e6a2b7540ac4cf3c08d285c630ec77fdddff9"
"RL.K.4","word-wonder","word-wonder","Kindergarten","RL.K.4","Reading Literature","K.U2","7","roadmap-standard-row-not-approved-lesson-order","I can be a word detective and figure out new words.","true","true","unknown","unknown","unknown","false","true","unit-2-exam; word-wonder-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-wonder.ts; docs/UNIT_ROADMAP.md:43","72bd064b35de3d0495b22d54b496cb08c4a37e455ccabe83bdadbfec530db210"
"RL.K.5","story-kinds","story-kinds","Kindergarten","RL.K.5","Reading Literature","K.U1","10","roadmap-standard-row-not-approved-lesson-order","I can tell if a book is make-believe or real.","true","true","unknown","unknown","unknown","false","true","story-kinds-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-kinds.ts; docs/UNIT_ROADMAP.md:30","d0d908aa5d7fec76780e417a4182eb29892411a868c7a2cf4dbbaf56fe6f45ea"
"RL.K.6","book-makers","book-makers","Kindergarten","RL.K.6","Reading Literature","K.U1","11","roadmap-standard-row-not-approved-lesson-order","You will learn who makes the words and pictures in a book!","true","true","unknown","unknown","unknown","false","true","book-makers-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/book-makers.ts; docs/UNIT_ROADMAP.md:31","a7f6c444d4bb1df914306883b4fddd4ebb047c7efdded16fd055ceee7c8919ac"
"RL.K.7","picture-clues","picture-clues","Kindergarten","RL.K.7","Reading Literature","K.U3","3","roadmap-standard-row-not-approved-lesson-order","We will learn how pictures tell us more about a story!","true","true","unknown","unknown","unknown","false","true","k-final; picture-clues-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-clues.ts; docs/UNIT_ROADMAP.md:52","649d98990d32269966f1e53175a048c2a3ed3767aa03ebaf204676098667a53d"
