"lesson_id","filename","script_text","voice_direction"
"lessons/RI.2.1","S1a","Smart readers ask questions as they read facts.",""
"lessons/RI.2.1","S1b","Six big ones: who, what, where, when, why, how.",""
"lessons/RI.2.1","S1c","Every one has an answer in the text.",""
"lessons/RI.2.1","S2a","Who, what, where, and when are easy to spot.",""
"lessons/RI.2.1","S2b","Why and how need deeper reading.",""
"lessons/RI.2.1","S2c","They help you really understand the facts.",""
"lessons/RI.2.1","S3a","Listen. Seal pups are born on ice. Their moms teach them to swim.",""
"lessons/RI.2.1","S3b","Who? The seal pups! Where? On ice!",""
"lessons/RI.2.1","S3c","Who teaches them? Their moms. Why? So they can survive!",""
"lessons/RI.2.1","S4a","Here is a helpful trick.",""
"lessons/RI.2.1","S4b","Jot questions on sticky notes as you read. Then hunt for the answers!",""
"lessons/RI.2.1","S4c","Now you are ready to ask smart fact questions!",""
