lesson_id,filename,script_text,voice_direction
RL.3.1,q1.mp3,"<speak> Captain Rosie sailed her tiny boat across the lake every morning. One foggy day, she spotted something glowing beneath the water. She leaned over the side and saw a golden chest resting on the sandy bottom..<break time='1s'/> <emphasis level='moderate'>What did Captain Rosie find under the water?</emphasis><break time='800ms'/> A fish? <break time='600ms'/> A golden chest? <break time='600ms'/> A sunken ship? <break time='600ms'/> or A glowing rock? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q1-hint.mp3,<speak>Here's a hint! Listen to the last sentence . <break time='500ms'/> what was resting on the sandy bottom?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q2.mp3,"<speak> Marcus had practiced his speech twenty times. When he stepped onto the stage, his hands were shaking. But once he started talking, the words flowed easily, and the audience clapped loudly at the end..<break time='1s'/> <emphasis level='moderate'>How did Marcus feel when he first stepped on stage?</emphasis><break time='800ms'/> Confident and calm? <break time='600ms'/> Nervous and shaky? <break time='600ms'/> Angry and upset? <break time='600ms'/> or Bored and tired? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q2-hint.mp3,<speak>Here's a hint! The text says his hands were shaking . <break time='500ms'/> what feeling does that show?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q3.mp3,"<speak> Grandma Chen kept a garden full of herbs. 'Every plant has a story,' she told Mei. She pointed to the lavender. 'Your grandfather brought those seeds from his village.'.<break time='1s'/> <emphasis level='moderate'>Who brought the lavender seeds?</emphasis><break time='800ms'/> Grandma Chen? <break time='600ms'/> Mei? <break time='600ms'/> Mei's grandfather? <break time='600ms'/> or A neighbor? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q3-hint.mp3,<speak>Here's a hint! Grandma says 'Your grandfather brought those seeds.' Whose grandfather?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q4.mp3,"<speak> The fox crept through the snow, its orange fur bright against the white. It paused, tilted its head, then leaped straight up and dove nose-first into a snowbank. Seconds later, it emerged with a mouse in its jaws..<break time='1s'/> <emphasis level='moderate'>Why did the fox leap into the snowbank?</emphasis><break time='800ms'/> To play in the snow? <break time='600ms'/> To hide from a predator? <break time='600ms'/> To catch a mouse? <break time='600ms'/> or To cool down? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q4-hint.mp3,<speak>Here's a hint! What did the fox have when it came back out of the snow?</speak>,"Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q5.mp3,"<speak> Aisha's violin had belonged to three generations of her family. The wood was worn smooth where countless fingers had pressed the strings. 'Play with your heart, not just your hands,' her mother always said..<break time='1s'/> <emphasis level='moderate'>What does the worn wood tell us about the violin?</emphasis><break time='800ms'/> It's brand new? <break time='600ms'/> It's been played by many people over many years? <break time='600ms'/> It's broken? <break time='600ms'/> or It needs to be replaced? <break time=\'400ms\'/> What do you think?</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
RL.3.1,q5-hint.mp3,"<speak>Here's a hint! The text says it belonged to three generations and has smooth, worn wood from countless fingers.</speak>","Read this like a cheerful, clear elementary school teacher reading to a small child:"
