Folder,Filename,Prompt
stories/kindergarten,story-k-1.png,"A cheerful child holding a big red hat, with a playful orange cat running away from a doormat. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/kindergarten,story-k-2.png,"A happy boy and his brown dog covered in mud, standing near a hole they dug in a yard. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/kindergarten,story-k-3.png,"Three happy kids running together in a sunny park with green grass and a playground in the background. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/kindergarten,story-k-4.png,"A tiny cute bug dancing on a colorful rug in a living room, with a coffee mug nearby. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/kindergarten,story-k-5.png,"A child and a big friendly dog sitting together by a pond watching ducks swim. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/1st,story-1-1.png,"A green frog sitting on a tree stump trying to catch a dragonfly in a pond setting. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/1st,story-1-2.png,"A boy and his mom on the deck of a big ship, watching a whale splash nearby with a flag waving. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/1st,story-1-3.png,"A boy with a chocolate cake on a plate, and a friendly pet snake nearby eating a grape. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/1st,story-1-4.png,"A small crab dragging a stick across a creek to make a bridge, with a crow flying above. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/1st,story-1-5.png,"A cute chipmunk with puffy cheeks full of chestnuts, standing near a thick green bush. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/2nd,story-2-1.png,"A boy sitting by a rainy train station window reading a book, with a train arriving in the background. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/2nd,story-2-2.png,"A girl riding in a small boat sliding down a snowy road, with a goat running behind her. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/2nd,story-2-3.png,"A girl in a windy park trying to catch papers flying from her unzipped backpack, her hair blowing wild. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/2nd,story-2-4.png,"A girl watching bees buzzing around a beehive in her backyard garden. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/2nd,story-2-5.png,"A girl in a colorful backyard garden with sunflowers, a butterfly on a flowerpot, and a birdbath with dragonflies. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/3rd,story-3-1.png,"A girl kneeling beside a tide pool full of crabs and a purple starfish on a rocky beach. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/3rd,story-3-2.png,"A boy searching under his bed for a missing compass, with his little sister behind him hiding it and grinning. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
stories/3rd,story-3-3.png,"A determined girl standing proudly in front of a garden full of tomatoes and peppers growing from rocky soil. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors. No text, no words, no letters, no names, no labels."
