lesson_id,filename,script_text,voice_direction
letters,a,"A","Say the letter name AY. Just the single letter name, nothing else."
letters,b,"B","Say the letter name BEE. Just the single letter name, nothing else."
letters,c,"C","Say the letter name SEE. Just the single letter name, nothing else."
letters,d,"D","Say the letter name DEE. Just the single letter name, nothing else."
letters,e,"E","Say the letter name EE. Just the single letter name, nothing else."
letters,f,"F","Say the letter name EFF. Just the single letter name, nothing else."
letters,g,"G","Say the letter name JEE. Just the single letter name, nothing else."
letters,h,"H","Say the letter name AYCH. Just the single letter name, nothing else."
letters,i,"I","Say the letter name EYE. Just the single letter name, nothing else."
letters,j,"J","Say the letter name JAY. Just the single letter name, nothing else."
letters,k,"K","Say the letter name KAY. Just the single letter name, nothing else."
letters,l,"L","Say the letter name ELL. Just the single letter name, nothing else."
letters,m,"M","Say the letter name EM. Just the single letter name, nothing else."
letters,n,"N","Say the letter name EN. Just the single letter name, nothing else."
letters,o,"O","Say the letter name OH. Just the single letter name, nothing else."
letters,p,"P","Say the letter name PEE. Just the single letter name, nothing else."
letters,q,"Q","Say the letter name CUE. Just the single letter name, nothing else."
letters,r,"R","Say the letter name AR. Just the single letter name, nothing else."
letters,s,"S","Say the letter name ESS. Just the single letter name, nothing else."
letters,t,"T","Say the letter name TEE. Just the single letter name, nothing else."
letters,u,"U","Say the letter name YOO. Just the single letter name, nothing else."
letters,v,"V","Say the letter name VEE. Just the single letter name, nothing else."
letters,w,"W","Say the letter name DOUBLE-YOO. Just the single letter name, nothing else."
letters,x,"X","Say the letter name EKS. Just the single letter name, nothing else."
letters,y,"Y","Say the letter name WHY. Just the single letter name, nothing else."
letters,z,"Z","Say the letter name ZEE. Just the single letter name, nothing else."
