"lesson_id","filename","script_text","voice_direction"
"kindergarten/RI.K.10","RI.K.10-Q1","Fact books teach you about:",""
"kindergarten/RI.K.10","RI.K.10-Q1-hint","Fact = true. Fact books are about real things!",""
"kindergarten/RI.K.10","RI.K.10-Q2","You love bugs! Which fact book should you pick?",""
"kindergarten/RI.K.10","RI.K.10-Q2-hint","Pick a fact book on what you love!",""
"kindergarten/RI.K.10","RI.K.10-Q3","What helps you find facts in a book?",""
"kindergarten/RI.K.10","RI.K.10-Q3-hint","Headings and pictures point you to facts!",""
"kindergarten/RI.K.10","RI.K.10-Q4","When you read a fact book, what should you do?",""
"kindergarten/RI.K.10","RI.K.10-Q4-hint","Pictures teach you facts too!",""
"kindergarten/RI.K.10","RI.K.10-Q5","Reading fact books helps you:",""
"kindergarten/RI.K.10","RI.K.10-Q5-hint","Every fact book teaches you something new!",""
