lesson_id,filename,script_text,voice_direction
lessons/RF.K.3c,S1a,"Some words show up in almost every book you read.","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S1b,"Words like the, I, do, is, and you.","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S1c,"We call them sight words. Let us learn them!","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3a,"Here are some important sight words. Let us read them together!","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3b,"The. You see this word in almost every book.","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3c,"I. That is what you call yourself.","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3d,"Do. Like in, I do it!","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3e,"Is. Like in, he is here.","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3f,"You. Talking to someone, you!","Warm calm kindergarten teacher voice. Natural pacing."
lessons/RF.K.3c,S3g,"Those are five sight words you will see everywhere. Nice work!","Warm calm kindergarten teacher voice. Natural pacing."
