"lesson_id","filename","script_text","voice_direction"
"lessons/L.1.5b","S1a","A good definition tells two things.",""
"lessons/L.1.5b","S1b","What group is it in? And what is special about it?",""
"lessons/L.1.5b","S1c","Let us try defining a dog.",""
"lessons/L.1.5b","S2a","A dog is an animal. That is its group.",""
"lessons/L.1.5b","S2b","But not every animal is a dog.",""
"lessons/L.1.5b","S2c","A dog is an animal that barks and wags its tail. That is special about dogs!",""
"lessons/L.1.5b","S3a","An apple is a fruit. That is the group.",""
"lessons/L.1.5b","S3b","An apple is a fruit that is round and grows on a tree.",""
"lessons/L.1.5b","S3c","Now we have a clear definition!",""
"lessons/L.1.5b","S4a","Here is a helpful trick.",""
"lessons/L.1.5b","S4b","Give the group name, and one special thing. That is a great definition!",""
"lessons/L.1.5b","S4c","Now you are ready to define words like a pro!",""
