Folder,Filename,Prompt
RL.1.1,q1.png,"Bella picked three red apples from the tree. She put them in her basket.. How many apples did Bella pick?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.1,q2.png,"The frog sat on a lily pad in the pond. He was waiting for a fly.. Where was the frog sitting?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.1,q3.png,"Emma walked to school with her friend Jake. They talked about their favorite animals.. Who did Emma walk with?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.1,q4.png,"Dad made pancakes for breakfast. He put blueberries on top.. What did Dad put on the pancakes?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.1,q5.png,"The kitten climbed the tall tree. It was scared to come down.. How did the kitten feel?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.2,q1.png,"Tom wanted to win the race. He practiced running every day. On race day, he came in first!. What is the lesson of this story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.2,q2.png,"Mia did not share her crayons. Her friends stopped playing with her. Mia felt sad and lonely.. What is the lesson of this story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.2,q3.png,"The ant worked hard all summer saving food. The grasshopper played all day. When winter came, the ant had food but the grasshopper did not.. What is the lesson?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.2,q4.png,"Leo tried to ride his bike but kept falling. His mom said, 'Keep trying!' After many tries, Leo could ride all by himself.. What happened first in the story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.2,q5.png,"Sara told a lie about breaking the vase. She felt bad all day. She told the truth and felt much better.. What is the lesson?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.3,q1.png,"The kind old woman lived in a tiny cottage by the sea. She fed the birds every morning.. Where does the story take place?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.3,q2.png,"Ben was always helping others. He carried bags for his neighbor and shared his lunch with friends.. What word best describes Ben?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.3,q3.png,"It was a dark and stormy night. The wind howled outside the old barn.. What is the setting?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.3,q4.png,"Rosa found a lost puppy. She gave it water and food. Then she found its owner.. What was the major event?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.3,q5.png,"Grumpy Gus never smiled. He frowned at everyone. One day a little girl gave him a flower and he finally smiled.. How does Gus change in the story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.4,q1.png,"The bright sun warmed her face.. Which word helps you feel the sun?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.4,q2.png,"The puppy whimpered softly in the rain.. How does the puppy probably feel?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.4,q3.png,"The cookies smelled sweet and warm from the oven.. Which words appeal to your sense of smell?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.4,q4.png,"Jake stomped his feet and crossed his arms.. How does Jake feel?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.4,q5.png,"The soft, fluffy blanket kept her cozy all night.. Which words help you imagine how the blanket feels?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.5,q1.png,"A book about a talking rabbit who goes on an adventure is what type of book?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.5,q2.png,"A book with facts about how plants grow is what type of book?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.5,q3.png,"Which is TRUE about storybooks?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.5,q4.png,"Which is TRUE about informational books?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.5,q5.png,"Once upon a time, a brave knight saved a dragon. Is this from a story or an informational book?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.6,q1.png,"I went to the store with my mom. I picked out a red apple.. Who is telling this story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.6,q2.png,"Sam ran to the park. He played on the swings.. Who is telling this story?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.6,q3.png,"'I love pizza!' said Maria.. Who is speaking?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.6,q4.png,"If a story uses the words 'I' and 'my,' who is telling it?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.6,q5.png,"'Let's go!' shouted Tom. 'Wait for me!' called Lily.. Who says 'Wait for me'?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.7,q1.png,"If a picture shows a girl with a big smile and a trophy, how does the girl probably feel?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.7,q2.png,"A picture shows snow on the ground and kids wearing coats. What season is it?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.7,q3.png,"The story says 'The dog was big.' The picture shows a dog as tall as the boy. What do we learn from the picture?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.7,q4.png,"Why are pictures in stories helpful?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.7,q5.png,"A picture shows a boy with tears on his face standing next to a broken toy. How does the boy feel?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.9,q1.png,"Story 1: A bear looks for honey. Story 2: A bee makes honey. What do both stories have in common?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.9,q2.png,"Story 1: Amy is brave and climbs a mountain. Story 2: Bob is brave and swims across a lake. How are Amy and Bob alike?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.9,q3.png,"Story 1: The cat stays inside all day. Story 2: The dog plays outside all day. How are the cat and dog DIFFERENT?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.9,q4.png,"When we COMPARE two characters, we look for ways they are: Different The same Funny. or Sad? What do you think?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
RL.1.9,q5.png,"When we CONTRAST two characters, we look for ways they are: The same Different Happy. or Tall? What do you think?, simple, bright children's book illustration, 2D vector style, flat colors, white background, high quality, no text"
