lesson_id,filename,script_text,voice_direction
RL.K.1,q1,"Read: ""Max the dog ran to the park. He played fetch with a red ball."" What did Max play with? A: A stick. B: A red ball. C: A bone. D: A toy car.",
RL.K.1,q1-hint,Look at the second sentence — what did Max play fetch with?,
RL.K.1,q2,"️ Read: ""Lily put on her yellow raincoat. She splashed in every puddle on the way to school."" Where was Lily going? A: To the park. B: To the store. C: To school. D: To bed.",
RL.K.1,q2-hint,Read the end of the second sentence carefully!,
RL.K.1,q3,"Read: ""Today is Emma's birthday! She is turning 6. Her mom made a chocolate cake."" How old is Emma turning? A: 5. B: 6. C: 7. D: 8.",
RL.K.1,q3-hint,The story tells you a number — what is it?,
RL.K.1,q4,"Read: ""Sam found a tiny kitten under the porch. The kitten was gray with white paws. Sam named her Mittens."" What color was the kitten? A: Black with white spots. B: Orange and fluffy. C: Gray with white paws. D: All white.",
RL.K.1,q4-hint,The second sentence describes what the kitten looked like.,
RL.K.1,q5,"Read: ""Grandma and Ben planted sunflower seeds in the garden. They watered them every day. Soon, tall yellow flowers grew!"" Who helped Ben plant the seeds? A: His mom. B: His dad. C: His grandma. D: His teacher.",
RL.K.1,q5-hint,Look at the very first word of the story!,
RL.K.2,q1,"Read: ""Bear was hungry. He looked in a tree and found honey. He ate it all up and felt happy."" Which retelling is correct? A: Bear found a fish and ate it.. B: Bear was hungry, found honey in a tree, and ate it.. C: Bear went to sleep in a cave.. D: Bear played with his friends..",
RL.K.2,q1-hint,"Which answer tells what happened in order — beginning, middle, and end?",
RL.K.2,q2,"Read: ""Frog wanted to cross the pond. He jumped on a lily pad. The lily pad floated him to the other side!"" What happened FIRST? A: Frog floated across.. B: Frog jumped on a lily pad.. C: Frog wanted to cross the pond.. D: Frog went home..",
RL.K.2,q2-hint,Think about what started the story — what did Frog want?,
RL.K.2,q3,"Read: ""Mia forgot her lunch at home. Her friend Leo shared his sandwich with her. Mia said thank you."" What is the BEST retelling? A: Mia ate lunch alone.. B: Mia brought two lunches to school.. C: Mia forgot her lunch, so Leo shared with her.. D: Leo forgot his lunch at home..",
RL.K.2,q3-hint,A good retelling includes the problem AND how it was solved.,
RL.K.2,q4,"Read: ""Turtle was slow but kept walking. Rabbit ran fast and took a nap. Turtle passed Rabbit and won the race!"" What happened at the END? A: Rabbit won the race.. B: Turtle gave up.. C: Turtle won the race.. D: They both stopped..",
RL.K.2,q4-hint,Read the last sentence — who crossed the finish line?,
RL.K.2,q5,"Read: ""It rained all morning. Then the sun came out. A beautiful rainbow appeared in the sky. All the kids cheered!"" What happened AFTER the sun came out? A: It started raining again.. B: A rainbow appeared.. C: The kids went inside.. D: It got dark..",
RL.K.2,q5-hint,Look at what happened right after the sun came out.,
RL.K.3,q1,"Read: ""Jake and his sister walked to school on Monday morning."" WHO is in this story? A: Jake and his mom. B: Jake and his sister. C: Jake and his dog. D: Jake and his teacher.",
