"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3g","RF.1.3g-Q1","The word said is tricky. How is it spelled?",""
"1st-grade/RF.1.3g","RF.1.3g-Q1-hint","Four letters: s-a-i-d. But it sounds like ""sed""!",""
"1st-grade/RF.1.3g","RF.1.3g-Q2","Which tricky word means ""in the past""?",""
"1st-grade/RF.1.3g","RF.1.3g-Q2-hint","Yesterday I was happy. Was = past!",""
"1st-grade/RF.1.3g","RF.1.3g-Q3","How is the tricky word have spelled?",""
"1st-grade/RF.1.3g","RF.1.3g-Q3-hint","Have ends with a silent E!",""
"1st-grade/RF.1.3g","RF.1.3g-Q4","Which tricky word means ""more than one person was""?",""
"1st-grade/RF.1.3g","RF.1.3g-Q4-hint","We were here yesterday. Were = past for many!",""
"1st-grade/RF.1.3g","RF.1.3g-Q5","Why are words like said and have called tricky?",""
"1st-grade/RF.1.3g","RF.1.3g-Q5-hint","Tricky words don't follow the usual sound rules. You just memorize them!",""
