"lesson_id","filename","script_text","voice_direction"
"lessons/L.1.4","S1a","Some words have more than one meaning!",""
"lessons/L.1.4","S1b","The word bat can be a baseball bat, or a little flying animal.",""
"lessons/L.1.4","S1c","Let us learn how to tell which meaning fits.",""
"lessons/L.1.4","S2a","Read the whole sentence. It gives you a clue.",""
"lessons/L.1.4","S2b","The boy swung the bat at the ball.",""
"lessons/L.1.4","S2c","Which bat? The baseball bat!",""
"lessons/L.1.4","S3a","Listen. The bat flew out of the cave at night.",""
"lessons/L.1.4","S3b","Did a baseball bat fly? No!",""
"lessons/L.1.4","S3c","This bat is the flying animal. The sentence gave us the clue.",""
"lessons/L.1.4","S4a","Here is a helpful trick.",""
"lessons/L.1.4","S4b","When a word could mean two things, read the whole sentence for clues.",""
"lessons/L.1.4","S4c","Now you are ready to be a word meaning detective!",""
