"lesson_id","filename","script_text","voice_direction"
"1st-grade/RI.1.10","RI.1.10-Q1","Fact books teach you about:",""
"1st-grade/RI.1.10","RI.1.10-Q1-hint","Fact = true! Fact books are about real things.",""
"1st-grade/RI.1.10","RI.1.10-Q2","You love bugs! Which fact book should you pick?",""
"1st-grade/RI.1.10","RI.1.10-Q2-hint","Pick a fact book on what you love!",""
"1st-grade/RI.1.10","RI.1.10-Q3","What is a good way to find facts in a book?",""
"1st-grade/RI.1.10","RI.1.10-Q3-hint","Headings tell you what each part is about!",""
"1st-grade/RI.1.10","RI.1.10-Q4","Why might a fact book have tricky words?",""
"1st-grade/RI.1.10","RI.1.10-Q4-hint","Tricky words usually name new things you are learning about!",""
"1st-grade/RI.1.10","RI.1.10-Q5","Reading lots of different fact books helps you:",""
"1st-grade/RI.1.10","RI.1.10-Q5-hint","Every fact book teaches you something new!",""
