"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3a","RF.1.3a-Q1","Which two letters make the ""shhh"" sound?",""
"1st-grade/RF.1.3a","RF.1.3a-Q1-hint","Think of ship! Sh sh ship!",""
"1st-grade/RF.1.3a","RF.1.3a-Q2","Which two letters make the ""chh"" sound like in chip?",""
"1st-grade/RF.1.3a","RF.1.3a-Q2-hint","Chip starts with the ""chh"" sound!",""
"1st-grade/RF.1.3a","RF.1.3a-Q3","Which word starts with the th sound?",""
"1st-grade/RF.1.3a","RF.1.3a-Q3-hint","Put your tongue behind your teeth and say thuh!",""
"1st-grade/RF.1.3a","RF.1.3a-Q4","Look at the word ship. What two letters spell one sound?",""
"1st-grade/RF.1.3a","RF.1.3a-Q4-hint","The first two letters make the ""shhh"" sound together.",""
"1st-grade/RF.1.3a","RF.1.3a-Q5","Which word has the ch sound at the end?",""
"1st-grade/RF.1.3a","RF.1.3a-Q5-hint","Listen to the very last sound in each word.",""
