id,level,severity,check_name,message
RL.K.1-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
RL.K.1-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.9)
RL.K.1-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RL.K.1-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.8)
RL.K.2-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.2)
RL.K.2-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.4)
RL.K.3-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.9)
RL.K.3-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.4)
RL.K.3-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.7)
RL.K.3-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.3)
RL.K.4-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.3)
RL.K.4-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.6)
RL.K.4-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.2)
RL.K.4-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.4)
RL.K.4-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.9)
RL.K.5-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.1)
RL.K.5-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.8)
RL.K.5-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 7.3)
RL.K.5-Q4,Kindergarten,warn,judge,The hint directly gives away the answer by defining a poem and then explicitly stating 'that's a poem!' instead of guiding the student to discover the answer.
RL.K.6-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.9)
RL.K.6-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 7.4)
RL.K.6-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.3)
RL.K.6-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.4)
RL.K.6-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.0)
RL.K.7-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 5.4)
RL.K.7-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.1)
RL.K.7-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.2)
RL.K.7-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 6.7)
RL.K.9-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.7)
RL.K.9-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.3)
RI.K.1-Q3,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.9)
RI.K.1-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.8)
RI.K.2-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.5)
RI.K.2-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.3)
RI.K.2-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.1)
RI.K.3-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.9)
RI.K.3-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 2.9)
RI.K.3-Q4,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.2)
RI.K.3-Q5,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 1.8)
RI.K.4-Q1,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 4.5)
RI.K.4-Q2,Kindergarten,warn,reading_level,Reads harder than Kindergarten (FK 3.7)
