"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3b","RF.1.3b-Q1","Sound out this word: c-a-t. What word is it?",""
"1st-grade/RF.1.3b","RF.1.3b-Q1-hint","Blend the sounds together: kuh-ah-tuh!",""
"1st-grade/RF.1.3b","RF.1.3b-Q2","What three sounds are in the word dog?",""
"1st-grade/RF.1.3b","RF.1.3b-Q2-hint","Stretch each letter out: duh...oh...guh.",""
"1st-grade/RF.1.3b","RF.1.3b-Q3","Sound out: s-u-n. What word is it?",""
"1st-grade/RF.1.3b","RF.1.3b-Q3-hint","Blend: sss-uh-n. The big bright thing in the sky!",""
"1st-grade/RF.1.3b","RF.1.3b-Q4","Which word has these sounds: b-i-g?",""
"1st-grade/RF.1.3b","RF.1.3b-Q4-hint","Blend: buh-ih-guh.",""
"1st-grade/RF.1.3b","RF.1.3b-Q5","Sound out: h-o-p. What word is it?",""
"1st-grade/RF.1.3b","RF.1.3b-Q5-hint","Blend the sounds: huh-oh-puh!",""
