"lesson_id","filename","script_text","voice_direction"
"1st-grade/RL.1.10","RL.1.10-Q1","Why is it important to read lots of different stories?",""
"1st-grade/RL.1.10","RL.1.10-Q1-hint","Different stories build different reading muscles!",""
"1st-grade/RL.1.10","RL.1.10-Q2","Which is a great way to get better at reading?",""
"1st-grade/RL.1.10","RL.1.10-Q2-hint","A little every day adds up fast!",""
"1st-grade/RL.1.10","RL.1.10-Q3","What should you do when a story gets tricky?",""
"1st-grade/RL.1.10","RL.1.10-Q3-hint","Growing readers ask questions when stuck!",""
"1st-grade/RL.1.10","RL.1.10-Q4","A poem is a special kind of:",""
"1st-grade/RL.1.10","RL.1.10-Q4-hint","Poems are stories told with rhythm and feeling!",""
"1st-grade/RL.1.10","RL.1.10-Q5","Why try stories that are a little harder than before?",""
"1st-grade/RL.1.10","RL.1.10-Q5-hint","A little stretch helps you grow!",""
