"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3d","RF.1.3d-Q1","How many syllables are in the word cat?",""
"1st-grade/RF.1.3d","RF.1.3d-Q1-hint","Clap it out: cat! Just one clap.",""
"1st-grade/RF.1.3d","RF.1.3d-Q2","How many syllables are in rabbit? Clap it out: rab-bit!",""
"1st-grade/RF.1.3d","RF.1.3d-Q2-hint","Rab... bit. Two claps!",""
"1st-grade/RF.1.3d","RF.1.3d-Q3","How many syllables: but-ter-fly?",""
"1st-grade/RF.1.3d","RF.1.3d-Q3-hint","But-ter-fly. Three claps!",""
"1st-grade/RF.1.3d","RF.1.3d-Q4","Every syllable must have at least one of what?",""
"1st-grade/RF.1.3d","RF.1.3d-Q4-hint","A, E, I, O, U! Every syllable needs one.",""
"1st-grade/RF.1.3d","RF.1.3d-Q5","How many syllables in apple?",""
"1st-grade/RF.1.3d","RF.1.3d-Q5-hint","Ap-ple. Two parts, two claps!",""
