"lesson_id","filename","script_text","voice_direction"
"2nd-grade/RL.2.1","RL.2.1-Q1","Mia woke up early on Saturday. She put on her boots and grabbed a basket. She walked to the garden and picked strawberries until the basket was full.. Where did Mia go? The garden. School. The store. The park.",""
"2nd-grade/RL.2.1","RL.2.1-Q2","Leo's dog, Biscuit, loved to play fetch. Every afternoon, Leo would throw a tennis ball across the yard. Biscuit always brought it back, wagging his tail.. What did Leo throw? A stick. A tennis ball. A frisbee. A bone.",""
"2nd-grade/RL.2.1","RL.2.1-Q3","On the first day of second grade, Emma felt nervous. She didn't know anyone in her new class. At lunch, a girl named Priya sat next to her and said, ""Want to share my crackers?"". Why was Emma nervous? She was late. She lost her backpack. She didn't know anyone. She forgot her lunch.",""
"2nd-grade/RL.2.1","RL.2.1-Q4","Grandpa and Tomas built a birdhouse together. They used wood, nails, and bright blue paint. They hung it on the oak tree in the backyard.. Who helped Tomas build the birdhouse? His mom. His teacher. His friend. His grandpa.",""
"2nd-grade/RL.2.1","RL.2.1-Q5","It was raining hard, so the soccer game was canceled. Ava was disappointed. Her dad said, ""Let's play board games instead!"" They played three rounds of her favorite game.. When was the soccer game canceled? When it was raining hard. When it was sunny. When it was windy. When it was snowing.",""
"2nd-grade/RL.2.2","RL.2.2-Q1","The ant worked all summer storing food. The grasshopper played and sang. When winter came, the ant had plenty to eat, but the grasshopper had nothing.. What is the lesson of this story? Singing is fun. It's good to plan ahead. Ants are better than grasshoppers. Winter is cold.",""
"2nd-grade/RL.2.2","RL.2.2-Q2","The tortoise and the hare had a race. The hare ran fast but stopped to nap. The tortoise kept going slowly and steadily. The tortoise crossed the finish line first.. What is the moral of this story? Running fast always wins. Napping is healthy. Slow and steady wins the race. Turtles are faster than rabbits.",""
"2nd-grade/RL.2.2","RL.2.2-Q3","Rosa wanted the biggest piece of cake. She pushed ahead of everyone in line. Her friends were upset and didn't want to sit with her. Rosa wished she had waited her turn.. What is the lesson of this story? Birthdays are fun. Cake is delicious. Lines are boring. Being patient and fair matters.",""
"2nd-grade/RL.2.2","RL.2.2-Q4","A lion was caught in a hunter's net. A tiny mouse chewed through the ropes and set the lion free. The lion had once let the mouse go instead of eating it.. What is the message of this story? Even small friends can be a big help. Hunters are mean. Mice like cheese. Lions are scary.",""
"2nd-grade/RL.2.2","RL.2.2-Q5","Ben bragged that he was the best speller in class. During the spelling bee, he didn't study and missed an easy word. His friend Kai, who had practiced every night, won.. What is the central message? Spelling is hard. Hard work beats bragging. Kai got lucky. Ben is a bad speller.",""
"2nd-grade/RL.2.3","RL.2.3-Q1","Lily's sandcastle was knocked down by a big wave. She felt sad at first, but then she smiled and said, ""I'll build an even bigger one!"". How did Lily respond to the challenge? She cried and gave up. She yelled at the wave. She decided to build a bigger one. She went home.",""
"2nd-grade/RL.2.3","RL.2.3-Q2","During the talent show, Jake forgot the words to his song. His face turned red. Then he took a deep breath and started over from the beginning.. How did Jake handle forgetting the words? He started crying. He ran off the stage. He asked the teacher for help. He took a deep breath and started over.",""
"2nd-grade/RL.2.3","RL.2.3-Q3","When the power went out during the storm, Maya was scared. Her mom lit candles and they told funny stories. Soon Maya was laughing instead of being afraid.. How did Maya's feelings change? She went from scared to laughing. She stayed scared the whole time. She fell asleep. She got angry.",""
"2nd-grade/RL.2.3","RL.2.3-Q4","Sam's best friend moved to a different city. Sam was really sad. He asked his mom if they could write letters to each other. Now Sam and his friend are pen pals.. How did Sam respond when his friend moved away? He forgot about his friend. He found a way to stay in touch. He moved too. He was angry at his friend.",""
"2nd-grade/RL.2.3","RL.2.3-Q5","Nora's team lost the championship game. Some kids were upset, but Nora high-fived every player and said, ""We played our best. I'm proud of us."". What does Nora's response tell us about her? She didn't care about winning. She was secretly angry. She is a good sport. She doesn't like soccer.",""
"2nd-grade/RL.2.4","RL.2.4-Q1","The rain came down, drip, drip, drop. It wouldn't quit, it wouldn't stop!. What do the words drip, drip, drop help you imagine? A sunny day. Wind blowing. A loud thunderstorm. The sound of rain falling.",""
"2nd-grade/RL.2.4","RL.2.4-Q2","Swoosh went the broom across the floor. Swish, swish, swoosh — it swept some more!. The words swoosh and swish help the reader — Hear the sound of sweeping. Learn how to clean. See the color of the broom. Know what time it is.",""
"2nd-grade/RL.2.4","RL.2.4-Q3","Silly Sally sat on a seal, singing songs by the sea.. What makes this sentence fun to say? It has lots of periods. Many words start with the same sound. It rhymes at the end. It has big words.",""
"2nd-grade/RL.2.4","RL.2.4-Q4","The leaves danced in the wind, twirling and spinning to the ground.. The word danced makes the leaves seem — Wet and cold. Heavy and slow. Lively and playful. Scary and dark.",""
"2nd-grade/RL.2.4","RL.2.4-Q5","Tick-tock, tick-tock, the clock on the wall. Tick-tock, tick-tock, it counts for us all.. Why does the author repeat tick-tock? To make it scary. Because they forgot what to write. To make the poem longer. To copy the sound and rhythm of a clock.",""
"2nd-grade/RL.2.5","RL.2.5-Q1","Once upon a time, a girl named Zara found a magic key. She used it to open a secret door in her attic. Behind the door was a land of talking animals. After many adventures, Zara returned home and locked the door.. Which part is the beginning of the story? Zara found a magic key. She locked the door. The land of talking animals. Zara returned home.",""
"2nd-grade/RL.2.5","RL.2.5-Q2","In a story, what does the ending usually do? Describe the setting. Wrap up the story and solve the problem. Introduce new characters. Start a new problem.",""
"2nd-grade/RL.2.5","RL.2.5-Q3","Devin wanted to win the art contest. He painted every day after school. His painting of a sunset won first place!. What is the problem at the beginning? Devin went to school. Devin won a prize. Devin wanted to win the contest. Devin painted a sunset.",""
"2nd-grade/RL.2.5","RL.2.5-Q4","Which part of a story introduces the characters and setting? The title. The ending. The middle. The beginning.",""
"2nd-grade/RL.2.5","RL.2.5-Q5","Mia lost her puppy in the park. She looked everywhere. Finally, she heard barking behind the slide and found her puppy playing with another dog.. How does the ending conclude the action? Mia finds her puppy. Mia loses her puppy. Mia looks everywhere. Mia goes to the park.",""
"2nd-grade/RL.2.6","RL.2.6-Q1","Ana thought the roller coaster was amazing and wanted to ride again. Her brother Carlos shook his head and said, ""No way, that was too scary!"". How are Ana's and Carlos's feelings different? Both were scared. Ana loved it but Carlos was scared. Carlos loved it but Ana didn't. Both wanted to ride again.",""
"2nd-grade/RL.2.6","RL.2.6-Q2","Mom said, ""We should get a cat."" Dad said, ""I think a dog would be better."" Jayden said, ""Can we get both?"". Who has a different point of view from Mom? Only Dad. Nobody. Both Dad and Jayden. Only Jayden.",""
"2nd-grade/RL.2.6","RL.2.6-Q3","The farmer was happy when it rained because his crops needed water. The children were sad because they couldn't play outside.. Why do the farmer and the children feel differently about the rain? The farmer likes being wet. They live in different places. The children don't like water. Rain helps the farmer's crops but stops the children's play.",""
"2nd-grade/RL.2.6","RL.2.6-Q4","Ella wanted to stay up late to watch a movie. Her mom said it was a school night and bedtime was 8 o'clock.. How is Ella's point of view different from her mom's? Ella wants to stay up but mom wants her to go to bed. Ella wants to sleep but mom says no. They both agree on bedtime. Mom wants to watch the movie too.",""
"2nd-grade/RL.2.6","RL.2.6-Q5","In the story, the Big Bad Wolf said, ""I just wanted to borrow some sugar!"" The Three Little Pigs said, ""He tried to blow our houses down!"". How are the points of view different? They agree on what happened. The wolf says he was friendly but the pigs say he was dangerous. The pigs like the wolf. The wolf admits he was bad.",""
"2nd-grade/RL.2.7","RL.2.7-Q1","If a story says Tomas felt happy and the picture shows him with a big smile and jumping, what do the words AND picture together tell you? Tomas is pretending. Tomas is a little happy. Tomas is very happy. Tomas is sick.",""
"2nd-grade/RL.2.7","RL.2.7-Q2","A story's words say: ""It was a dark night."" The picture shows rain, lightning, and bent trees. What can you tell about the setting? It's snowing. It's a calm evening. It's a sunny morning. There's a big storm.",""
"2nd-grade/RL.2.7","RL.2.7-Q3","Why are illustrations important in a story? They help you understand the characters and setting better. They replace the words. They are only for decoration. They make the book heavier.",""
"2nd-grade/RL.2.7","RL.2.7-Q4","A story says ""Maya walked into the room."" The picture shows Maya with wide eyes, an open mouth, and a room full of balloons and presents. What is probably happening? Maya is sad. Maya is at a surprise party. Maya is going to bed. Maya is at school.",""
"2nd-grade/RL.2.7","RL.2.7-Q5","The text says: ""The old man sat on the bench."" The picture shows him feeding pigeons with a gentle smile and a cane beside him. What do you learn from the picture that the words don't tell you? He's an old man. He's outside. He's feeding pigeons and seems kind. He's sitting on a bench.",""
"2nd-grade/RL.2.9","RL.2.9-Q1","Two versions of Cinderella both have a girl who goes to a ball. In one version, a fairy godmother helps her. In the other, magic fish help her. What is the SAME in both? The magic fish. The prince's name. The fairy godmother. A girl goes to a ball.",""
"2nd-grade/RL.2.9","RL.2.9-Q2","When you compare two versions of the same story, you look for things that are — Both the same AND different. Only different. Only the same. Not in either story.",""
"2nd-grade/RL.2.9","RL.2.9-Q3","In an American version of a folktale, the hero is a cowboy. In a Japanese version, the hero is a samurai. Both heroes save their village. What is DIFFERENT? The heroes are brave. The type of hero. Both save a village. The stories have a happy ending.",""
"2nd-grade/RL.2.9","RL.2.9-Q4","Story A: A boy finds a golden egg laid by a goose. Story B: A girl finds a golden seed that grows into a money tree. How are these stories similar? Both are about boys. Both have a goose. Both characters find something magical and valuable. Both have a tree.",""
"2nd-grade/RL.2.9","RL.2.9-Q5","Why might the same story be told differently in different cultures? People in other places don't like stories. The authors copied each other. One version is right and the other is wrong. Each culture adds its own setting, characters, and traditions.",""
"2nd-grade/RL.2.10","RL.2.10-Q1","The wind howled through the trees as Sophie clutched her flashlight. She had promised to walk to the mailbox alone, and she wasn't going to break her promise. With each step, the shadows seemed to dance around her.. How is Sophie feeling? Brave but a little scared. Bored and tired. Angry at someone. Excited and happy.",""
"2nd-grade/RL.2.10","RL.2.10-Q2","Jackson's painting looked nothing like the sunset he was trying to copy. He almost crumpled it up, but then his art teacher said, ""Art doesn't have to be perfect — it just has to be yours."". What did Jackson learn? Art should be a perfect copy. His own style matters. His teacher is mean. He should stop painting.",""
"2nd-grade/RL.2.10","RL.2.10-Q3","Every day, the old lighthouse keeper climbed 137 steps to light the lamp. Ships depend on me, he would say. Even in the worst storms, the light always shone.. What word BEST describes the lighthouse keeper? Lazy. Silly. Dedicated. Confused.",""
"2nd-grade/RL.2.10","RL.2.10-Q4","The squirrel buried an acorn in the fall. By spring, a tiny green sprout poked through the soil. Years later, it became the tallest oak in the forest.. What is this story mainly about? Forests have lots of trees. Spring is the best season. Squirrels are forgetful. Small things can grow into something big.",""
"2nd-grade/RL.2.10","RL.2.10-Q5","""I'll never make friends here,"" whispered Amir on his first day at the new school. By the end of the week, he had joined the soccer team and made three new friends.. What happened that Amir did NOT expect? He made friends quickly. He went to a new school. He felt nervous. He played soccer.",""
"2nd-grade/RI.2.1","RI.2.1-Q1","Honeybees live in hives. A hive can have up to 60,000 bees! The queen bee lays all the eggs, and worker bees collect nectar from flowers.. What does the queen bee do? Guards the hive. Lays all the eggs. Collects nectar. Builds the hive.",""
"2nd-grade/RI.2.1","RI.2.1-Q2","Firefighters wear special gear to stay safe. Their helmets protect their heads. Their thick coats keep them safe from fire and heat.. Why do firefighters wear thick coats? Because they like heavy clothes. To look cool. To keep safe from fire and heat. To stay warm in winter.",""
"2nd-grade/RI.2.1","RI.2.1-Q3","George Washington Carver was a scientist who studied peanuts. He found over 300 uses for peanuts, including making soap, ink, and dye.. How many uses did Carver find for peanuts? 3,000. 30. 100. 300.",""
"2nd-grade/RI.2.1","RI.2.1-Q4","Sea turtles travel thousands of miles through the ocean. They return to the same beach where they were born to lay their eggs.. Where do sea turtles lay their eggs? On the beach where they were born. In the deep ocean. On any beach. In a nest in a tree.",""
"2nd-grade/RI.2.1","RI.2.1-Q5","In 1969, astronauts Neil Armstrong and Buzz Aldrin walked on the Moon for the first time. Millions of people watched on television.. When did astronauts first walk on the Moon? 1979. 1969. 1959. 1989.",""
"2nd-grade/RI.2.2","RI.2.2-Q1","Dogs make great pets. They are loyal and friendly. Many dogs can be trained to do tricks. Some dogs even help people who are blind.. What is the main topic? How to train pets. Cats. Why dogs make great pets. Animals at the zoo.",""
"2nd-grade/RI.2.2","RI.2.2-Q2","Paragraph 1: Apples come in many colors — red, green, and yellow. Paragraph 2: Apples are good for you because they have vitamins and fiber.. What is Paragraph 2 mostly about? The colors of apples. How to grow apples. Apple pie recipes. Why apples are healthy.",""
"2nd-grade/RI.2.2","RI.2.2-Q3","A passage has three paragraphs. One is about where penguins live. One is about what they eat. One is about how they raise their babies. What is the MAIN topic of the whole passage? All about penguins. Penguin food. Antarctic weather. Baby animals.",""
"2nd-grade/RI.2.2","RI.2.2-Q4","Water can be a solid, a liquid, or a gas. Ice is solid water. Steam is water as a gas. The water you drink is a liquid.. What is the main topic? How to make steam. The three forms of water. Ice is cold. Drinking water.",""
"2nd-grade/RI.2.2","RI.2.2-Q5","How can you find the main topic of a passage with many paragraphs? Count the sentences. Read only the first word. Think about what ALL the paragraphs are about together. Look at the pictures only.",""
