"catalogStandard","canonicalLessonId","slug","grade","declaredStandards","domain","unit","positionWithinUnit","positionMeaning","objective","exists","registered","technicalQa","curriculumApproval","productionRelease","planningEligible","roadmapCheckmark","checkpoints","relationship","mismatches","combinedStandardCandidates","sources","sourceVersion"
"RL.K.1","key-details","key-details","Kindergarten","RL.K.1","Reading Literature","K.U1","8","roadmap-standard-row-not-approved-lesson-order","You will ask and answer questions about who, what, and where in a story.","true","true","unknown","unknown","unknown","false","true","k-final; key-details-quiz; unit-1-exam","exact-declaration","multiple-lessons-declare-standard","","app/data/sample-lessons.json; app/data/lessons-v2/key-details.ts; docs/UNIT_ROADMAP.md:28","94c81696cfa4abff9cc58bfc5a2f0e072a6da88db8c7715fee0c7d14b462eeb9"
"RL.K.1","reading-detective","reading-detective","Kindergarten","RL.K.1","Reading Literature","K.U1","8","roadmap-standard-row-not-approved-lesson-order","Use clues from the story to figure out what the words don't say. That's an inference!","true","true","unknown","unknown","unknown","false","true","","exact-declaration","multiple-lessons-declare-standard","","app/data/sample-lessons.json; app/data/lessons-v2/reading-detective.ts; docs/UNIT_ROADMAP.md:28","97724c10ee12741ac673b61c84de81c4d15637ceef7db72baada3e865bd5af3d"
"RF.K.2a","rhyme-time","rhyme-time","Kindergarten","RF.K.2a","Foundational Skills","K.U1","5","roadmap-standard-row-not-approved-lesson-order","You will learn to find words that rhyme.","true","true","unknown","unknown","unknown","false","true","k-final; rhyme-time-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/rhyme-time.ts; docs/UNIT_ROADMAP.md:25","c918ad7261d6c663addba61e8e6709f613c5f412cfcf5224fc4c11f0ac947037"
"RI.K.1","fact-finder-basics","fact-finder-basics","Kindergarten","RI.K.1","Reading Informational Text","K.U4","1","roadmap-standard-row-not-approved-lesson-order","I can ask and answer questions about facts.","true","true","unknown","unknown","unknown","false","true","fact-finder-basics-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-finder-basics.ts; docs/UNIT_ROADMAP.md:63","a64d0522e0e7aca75abe3176c140b63569c4a9b8e898ef2589d14d97ebcaa6cd"
"RL.K.2","tell-it-back","tell-it-back","Kindergarten","RL.K.2","Reading Literature","K.U2","6","roadmap-standard-row-not-approved-lesson-order","I can tell what happened at the beginning, middle, and end of a story.","true","true","unknown","unknown","unknown","false","true","k-final; tell-it-back-quiz; unit-2-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/tell-it-back.ts; docs/UNIT_ROADMAP.md:42","c29cc2ab52636b7a6c71f6430416f5eabe7f3a24b8b8a29127d371a2bbcd8d53"
"RL.K.3","story-elements","story-elements","Kindergarten","RL.K.3","Reading Literature","K.U1","9","roadmap-standard-row-not-approved-lesson-order","Characters are WHO a story is about. The setting is WHERE it happens. Events happen in order.","true","true","unknown","unknown","unknown","false","true","","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-elements.ts; docs/UNIT_ROADMAP.md:29","7afed4641a6195cfe694bf664551cb589859def5f74171595992902754dbcd78"
"RL.K.4","word-wonder","word-wonder","Kindergarten","RL.K.4","Reading Literature","K.U2","7","roadmap-standard-row-not-approved-lesson-order","I can be a word detective and figure out new words.","true","true","unknown","unknown","unknown","false","true","unit-2-exam; word-wonder-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/word-wonder.ts; docs/UNIT_ROADMAP.md:43","5b3abbb7ac20f89423eb3f3689ef65e076bfb0c78fdb4c99c921eb5562ad1426"
"RL.K.5","story-kinds","story-kinds","Kindergarten","RL.K.5","Reading Literature","K.U1","10","roadmap-standard-row-not-approved-lesson-order","I can tell if a book is make-believe or real.","true","true","unknown","unknown","unknown","false","true","story-kinds-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/story-kinds.ts; docs/UNIT_ROADMAP.md:30","d0d908aa5d7fec76780e417a4182eb29892411a868c7a2cf4dbbaf56fe6f45ea"
"RL.K.6","book-makers","book-makers","Kindergarten","RL.K.6","Reading Literature","K.U1","11","roadmap-standard-row-not-approved-lesson-order","You will learn who makes the words and pictures in a book!","true","true","unknown","unknown","unknown","false","true","book-makers-quiz; unit-1-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/book-makers.ts; docs/UNIT_ROADMAP.md:31","a7f6c444d4bb1df914306883b4fddd4ebb047c7efdded16fd055ceee7c8919ac"
"RL.K.7","picture-clues","picture-clues","Kindergarten","RL.K.7","Reading Literature","K.U3","3","roadmap-standard-row-not-approved-lesson-order","We will learn how pictures tell us more about a story!","true","true","unknown","unknown","unknown","false","true","k-final; picture-clues-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/picture-clues.ts; docs/UNIT_ROADMAP.md:52","78e4b84f32eb6dc4cd78c7db821cbbca7227e29d9d209df5448dcb4a3d0061cd"
"RL.K.9","same-and-different","same-and-different","Kindergarten","RL.K.9","Reading Literature","K.U3","4","roadmap-standard-row-not-approved-lesson-order","I can tell what happened to both friends, and what happened to just one friend in a story.","true","true","unknown","unknown","unknown","false","true","same-and-different-quiz; unit-3-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/same-and-different.ts; docs/UNIT_ROADMAP.md:53","a33eacb0bb062e23044f2d406f627fe118328ea3ed7fc24afe1d52b35af6a106"
"RI.K.2","whats-it-about","whats-it-about","Kindergarten","RI.K.2","Reading Informational Text","K.U4","2","roadmap-standard-row-not-approved-lesson-order","I can name what a book is all about and tell important facts.","true","true","unknown","unknown","unknown","false","true","k-final; unit-4-exam; whats-it-about-quiz","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/whats-it-about.ts; docs/UNIT_ROADMAP.md:64","1882ee05cf68f1c270c39f9bfcdabde1f34a27647a7f07cda508a836766a537d"
"RI.K.3","how-they-connect","how-they-connect","Kindergarten","RI.K.3","Reading Informational Text","K.U4","3","roadmap-standard-row-not-approved-lesson-order","I can tell why two things go together in a fact.","true","true","unknown","unknown","unknown","false","true","how-they-connect-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/how-they-connect.ts; docs/UNIT_ROADMAP.md:65","8aeb506e252ab57f4838dde81dafc8dcd52da232088bddd2b815938514495620"
"RI.K.4","science-word-wonder","science-word-wonder","Kindergarten","RI.K.4","Reading Informational Text","K.U4","4","roadmap-standard-row-not-approved-lesson-order","I can figure out new science words in a fact book.","true","true","unknown","unknown","unknown","false","true","science-word-wonder-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/science-word-wonder.ts; docs/UNIT_ROADMAP.md:66","35195a0ccefe83356f1ee2568e45b002b0ae237fd9177b826085720c07897a6d"
"RI.K.5","parts-of-a-book","parts-of-a-book","Kindergarten","RI.K.5","Reading Informational Text","K.U4","5","roadmap-standard-row-not-approved-lesson-order","I can find the front cover, back cover, and title page of a book.","true","true","unknown","unknown","unknown","false","true","parts-of-a-book-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/parts-of-a-book.ts; docs/UNIT_ROADMAP.md:67","d330a29b0cca68031025d4a26d937850a4103688bddcac384c17b177041b1a1a"
"RI.K.6","fact-book-makers","fact-book-makers","Kindergarten","RI.K.6","Reading Informational Text","K.U4","6","roadmap-standard-row-not-approved-lesson-order","You will learn who makes a fact book: the author writes the true words, and the illustrator makes the pictures or photos!","true","true","unknown","unknown","unknown","false","true","fact-book-makers-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/fact-book-makers.ts; docs/UNIT_ROADMAP.md:68","fa3f12455d1f93b6fe35d1e447d289ecb85a4b1d15829ee687cd7957d12be61a"
"RI.K.7","diagram-detectives","diagram-detectives","Kindergarten","RI.K.7","Reading Informational Text","K.U4","7","roadmap-standard-row-not-approved-lesson-order","I can tell what person, place, or thing a fact book picture shows.","true","true","unknown","unknown","unknown","false","true","diagram-detectives-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/diagram-detectives.ts; docs/UNIT_ROADMAP.md:69","c6295300ab317f7d3c15391e7294309c83210676c3ec7f0d762defbafc3f32c5"
"RI.K.8","author-reasons","author-reasons","Kindergarten","RI.K.8","Reading Informational Text","K.U4","8","roadmap-standard-row-not-approved-lesson-order","I can find the reasons an author gives in a fact book.","true","true","unknown","unknown","unknown","false","true","author-reasons-quiz; k-final; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/author-reasons.ts; docs/UNIT_ROADMAP.md:70","0dba9e9506639e4f8c39b5a1d39deb009e848b537b0ddaa812eafb3f782951e5"
"RI.K.9","two-books-one-topic","two-books-one-topic","Kindergarten","RI.K.9","Reading Informational Text","K.U4","9","roadmap-standard-row-not-approved-lesson-order","I can tell which facts are in both books and which facts are in just one book.","true","true","unknown","unknown","unknown","false","true","two-books-one-topic-quiz; unit-4-exam","exact-declaration","","","app/data/sample-lessons.json; app/data/lessons-v2/two-books-one-topic.ts; docs/UNIT_ROADMAP.md:71","8daab33c8094f74822e16f6d2fa2cc3399287f153a5854613b8b15f440126d7d"
"RF.K.1a","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","1","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:21","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
"RF.K.1b","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","2","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:22","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
"RF.K.1c","book-basics","book-basics","Kindergarten","RF.K.1","Foundational Skills","K.U1","3","roadmap-standard-row-not-approved-lesson-order","I can find words in a book by reading left to right and top to bottom.","true","true","unknown","unknown","unknown","false","true","book-basics-quiz; k-final; unit-1-exam","documented-combined-candidate","parent-standard-vs-substandard:review-required; declared-standard-outside-routing-catalog","RF.K.1a; RF.K.1b; RF.K.1c","app/data/sample-lessons.json; app/data/lessons-v2/book-basics.ts; docs/UNIT_ROADMAP.md:23","75351a41d4b57f0a01d28499aa0ee2e5771a9f54a7fc246861285fec494aea59"
