"lesson_id","filename","script_text","voice_direction"
"lessons/RF.1.3a","S1a","Sometimes two letters team up to make just one sound!",""
"lessons/RF.1.3a","S1b","The letters are not each saying their own sound anymore.",""
"lessons/RF.1.3a","S1c","They make a brand new sound together!",""
"lessons/RF.1.3a","S2a","When S and H team up, they make the ""shhh"" sound.",""
"lessons/RF.1.3a","S2b","Like in the word ship. Sh-ip.",""
"lessons/RF.1.3a","S2c","Or shell, shop, and shoe. All start with the ""shhh"" sound.",""
"lessons/RF.1.3a","S3a","C and H together make the ""chh"" sound. Like in chip.",""
"lessons/RF.1.3a","S3b","Chip. Chop. Cheese. Hear the ""chh""?",""
"lessons/RF.1.3a","S3c","And T and H make the ""thh"" sound. Like in thumb.",""
"lessons/RF.1.3a","S3d","Thumb. Thin. Think. Feel your tongue?",""
"lessons/RF.1.3a","S4a","Here is a helpful trick.",""
"lessons/RF.1.3a","S4b","When you see S-H, C-H, or T-H together, they make one sound, not two.",""
"lessons/RF.1.3a","S4c","Now you are ready to spot two-letter sounds!",""
