"lesson_id","filename","script_text","voice_direction"
"lessons/RF.1.3g","S1a","Most words you can sound out. But a few are tricky!",""
"lessons/RF.1.3g","S1b","These words do not follow the usual rules.",""
"lessons/RF.1.3g","S1c","The best way? Memorize them by sight.",""
"lessons/RF.1.3g","S2a","Look at this word. Said.",""
"lessons/RF.1.3g","S2b","It is spelled S-A-I-D. But it sounds like sed!",""
"lessons/RF.1.3g","S2c","It breaks the rules! So we just memorize it.",""
"lessons/RF.1.3g","S3a","Was. Were. Have.",""
"lessons/RF.1.3g","S3b","Was sounds like wuz, but it ends in s.",""
"lessons/RF.1.3g","S3c","Were has a silent E that helps it end in R.",""
"lessons/RF.1.3g","S3d","Have ends in a silent E too. Tricky words stick together.",""
"lessons/RF.1.3g","S4a","Here is a helpful trick.",""
"lessons/RF.1.3g","S4b","The more often you see a tricky word, the faster you know it. Flash cards help!",""
"lessons/RF.1.3g","S4c","Now you are ready to read tricky sight words!",""
