"lesson_id","filename","script_text","voice_direction"
"lessons/RF.1.3f","S1a","Little endings can change what a word means.",""
"lessons/RF.1.3f","S1b","They tell us how many, or when.",""
"lessons/RF.1.3f","S1c","Let us meet three of the most common ones.",""
"lessons/RF.1.3f","S2a","The S ending means more than one.",""
"lessons/RF.1.3f","S2b","One cat. Two cats.",""
"lessons/RF.1.3f","S2c","Dog becomes dogs. Apple becomes apples.",""
"lessons/RF.1.3f","S3a","The ending E D means it already happened.",""
"lessons/RF.1.3f","S3b","Yesterday, I jumped. Already happened!",""
"lessons/RF.1.3f","S3c","The ending I N G means happening right now.",""
"lessons/RF.1.3f","S3d","I am jumping. Happening now!",""
"lessons/RF.1.3f","S4a","Here is a helpful trick.",""
"lessons/RF.1.3f","S4b","Look at the last letters. The ending tells you when or how many!",""
"lessons/RF.1.3f","S4c","Now you are ready to read word endings!",""
