"lesson_id","filename","script_text","voice_direction"
"1st-grade/RF.1.3f","RF.1.3f-Q1","What does the -s at the end of cats mean?",""
"1st-grade/RF.1.3f","RF.1.3f-Q1-hint","One cat. Two cats. The S means more than one!",""
"1st-grade/RF.1.3f","RF.1.3f-Q2","What ending means ""happening right now""?",""
"1st-grade/RF.1.3f","RF.1.3f-Q2-hint","Running, jumping, playing. All happening now!",""
"1st-grade/RF.1.3f","RF.1.3f-Q3","Jumped has which ending?",""
"1st-grade/RF.1.3f","RF.1.3f-Q3-hint","The last two letters are e-d. That means it already happened.",""
"1st-grade/RF.1.3f","RF.1.3f-Q4","What is the root word in playing?",""
"1st-grade/RF.1.3f","RF.1.3f-Q4-hint","Take off the -ing. What is left?",""
"1st-grade/RF.1.3f","RF.1.3f-Q5","Add -ed to walk. What word do you get?",""
"1st-grade/RF.1.3f","RF.1.3f-Q5-hint","Walk plus e-d means you already did it!",""
