Folder,Filename,Prompt
logo-mocks,51-horizontal-lockup.png,"A premium horizontal logo lockup on a pure white background. On the left, a small refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book — soft dusty-rose inner ears, deep navy outline, two clean dot eyes. Centered vertically. To the right, the wordmark 'readee' in a friendly modern rounded sans-serif font, deep midnight navy with the 'ee' at the end in soft violet. Comfortable spacing between bunny and wordmark. Clean isolated subject, no surrounding decoration, edges of subject completely on pure white. Sequoia-portfolio brand identity. The only text is the lowercase word readee."
logo-mocks,52-vertical-lockup.png,"A premium vertical logo lockup on a pure white background. On top, a refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book — soft dusty-rose inner ears, deep navy outline. Centered horizontally. Below it, the wordmark 'readee' in a friendly modern rounded sans-serif font, deep midnight navy with the 'ee' at the end in soft violet. Stacked composition with comfortable spacing. Clean isolated subject on pure white. The only text is the lowercase word readee."
logo-mocks,53-compact-horizontal.png,"A premium tight horizontal logo lockup on a pure white background. A very small refined chibi cartoon white bunny mascot icon (head and ears mainly visible) on the left, immediately followed by the wordmark 'readee' in a friendly modern rounded sans-serif font, deep midnight navy with the 'ee' at the end in soft violet. Tight kerning between mark and wordmark, designed for nav bars and headers. Clean isolated subject on pure white. The only text is the lowercase word readee."
logo-mocks,54-wordmark-only.png,"The wordmark 'readee' alone, written in a friendly modern rounded sans-serif font, deep midnight navy with the 'ee' at the end in soft violet. Clean lowercase letterforms with rounded terminals. Centered on a pure white background, no decoration, no mark, no bunny, no other elements — just the wordmark. Premium Sequoia-portfolio brand wordmark. The only text is the lowercase word readee."
logo-mocks,55-mark-only-bunny.png,"A premium minimalist refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book. Soft dusty-rose inner ears, deep midnight navy outline, two clean dot eyes, no other facial details. Crisp vector linework, flat color blocks. Centered on a pure white background, completely isolated subject — no badge, no surrounding container, no text. Premium kid-app brand mark. No text, no words, no letters."
logo-mocks,56-mark-app-icon-violet.png,"A premium app icon on a pure white background: a perfectly rounded square badge filled with a subtle deep-violet to soft-indigo gradient, with a refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book centered inside. Soft dusty-rose inner ears, deep navy outline. The badge has a soft drop shadow. The space outside the badge is pure white. No text, no words, no letters."
logo-mocks,57-mark-app-icon-cream.png,"A premium app icon on a pure white background: a soft rounded-square cream-colored badge with a subtle warm gradient and a refined chibi cartoon white bunny mascot in three-quarter angle pose holding a small deep-indigo book centered inside. Soft dusty-rose inner ears, deep navy outline. The space outside the badge is pure white. No text, no words, no letters."
logo-mocks,58-favicon-head.png,"A premium minimalist chibi bunny head mascot, three-quarter front-angle view, designed as a tiny favicon. Just the head and two ears, no body, no book. Soft dusty-rose inner ears, two tiny round dark navy eyes, no other facial details. Crisp deep-navy outline, cream-white head. Centered on a pure white background, completely isolated subject. No badge, no container, no text. No text, no words, no letters."
logo-mocks,59-monochrome-lockup.png,"A premium monochrome horizontal logo lockup on a pure white background, rendered entirely in a single deep midnight navy color. On the left, a refined chibi cartoon bunny mascot in three-quarter angle pose holding a small book (all navy silhouette with negative space details for ears and eyes). On the right, the wordmark 'readee' in a friendly modern rounded sans-serif font, also entirely deep midnight navy. Single-color brand mark for monochrome contexts. The only text is the lowercase word readee."
logo-mocks,60-icon-letter-r-bunny.png,"A premium creative wordmark on a pure white background. The word 'readee' in a friendly modern rounded sans-serif lowercase font, deep midnight navy with the 'ee' at the end in soft violet. The lowercase 'r' at the start has been creatively replaced or fused with a tiny chibi bunny head silhouette where the bunny's ears form the ascender of the r. Premium clever brand wordmark for an edtech kids reading app. The only text is the lowercase word readee."
