lesson_id,filename,script_text,voice_direction
stories/kindergarten,story-k-1-story,"<speak>Sam has a big red hat.<break time=""300ms""/> The hat sat on the mat.<break time=""300ms""/> A cat sat on the hat!<break time=""300ms""/> Sam got the hat.<break time=""300ms""/> The cat ran.</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-1-title,"<speak>The Big Red Hat</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-1-Q1,"<speak>What color is the hat?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-1-Q2,"<speak>Where did the hat sit?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-1-Q3,"<speak>What sat on the hat?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-2-story,"<speak>Dan has a dog.<break time=""300ms""/> The dog can dig.<break time=""300ms""/> Dan and the dog dug in the mud.<break time=""300ms""/> Mom was not glad!<break time=""300ms""/> Dan and the dog got a bath.</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-2-title,"<speak>Dan and the Dog</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-2-Q1,"<speak>What can the dog do?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-2-Q2,"<speak>Where did they dig?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-2-Q3,"<speak>What did Dan and the dog get?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-3-story,"<speak>I can go to the park.<break time=""300ms""/> You can go with me!<break time=""300ms""/> We can run and play.<break time=""300ms""/> Are you fast?<break time=""300ms""/> I am!<break time=""300ms""/> She is fast too.<break time=""300ms""/> We are all fast.</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-3-title,"<speak>I Can Do It</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-3-Q1,"<speak>Where do they go?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-3-Q2,"<speak>What can they do?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-3-Q3,"<speak>Are they fast?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-4-story,"<speak>A bug sat on a rug.<break time=""300ms""/> The bug did a jig!<break time=""300ms""/> It hid in a mug.<break time=""300ms""/> Mom got the bug.<break time=""300ms""/> She set it on a log.</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-4-title,"<speak>A Bug on a Rug</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-4-Q1,"<speak>Where did the bug sit?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-4-Q2,"<speak>What did the bug do?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-4-Q3,"<speak>Where did Mom put the bug?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-5-story,"<speak>My dog is big.<break time=""300ms""/> He and I go to the pond.<break time=""300ms""/> Do you see the ducks?<break time=""300ms""/> I do!<break time=""300ms""/> We sit and look.<break time=""300ms""/> He is my best pal.</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-5-title,"<speak>My Dog and Me</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-5-Q1,"<speak>Where do they go?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
stories/kindergarten,story-k-5-Q2,"<speak>What do they see?</speak>","Read this like a cheerful, warm elementary school teacher reading a story to a young child. Slow pace, clear pronunciation:"
