Folder,Filename,Prompt
logo-mocks,21-geometric-bunny-head.png,"A premium minimalist abstract bunny logo for an edtech brand. A simple stylized bunny head viewed straight on, made from clean geometric flat shapes — a rounded body with two long ear shapes, no facial details except two tiny dot eyes. Solid deep indigo bunny silhouette with soft violet inner-ear accents. Centered on a soft cream rounded-square background. Vector-perfect, modern app icon, like a Sequoia-portfolio brand mark. No text, no words, no letters."
logo-mocks,22-bunny-ears-mark.png,"A premium minimalist abstract symbol: just two simple rounded bunny ear shapes side by side, with soft pink inner ear accents, sitting above an implied invisible head. Solid deep indigo outer ears, soft pink inner ears. Centered on a clean cream background. Vector-perfect flat geometric, no character face, no body, no shading. Modern startup brand mark — bunny essence reduced to its iconic feature. No text, no words, no letters."
logo-mocks,23-bunny-profile-line.png,"A premium minimalist abstract bunny logo: a clean geometric side-profile silhouette of a sitting bunny with one upright ear and one slightly bent ear, drawn with a single bold continuous indigo line on a cream background. Subtle pink inner ear color block. Vector-perfect, no facial details, no shading. Modern Linear-level minimalism for a children's reading brand. No text, no words, no letters."
logo-mocks,24-bunny-circle-badge.png,"A premium minimalist app icon: a perfectly circular violet badge with a flat geometric bunny silhouette in cream-white inside, just the bunny head and two tall ears, no facial details. Soft drop shadow on the circle. Centered on a clean white background. Vector-perfect, modern Sequoia-backed startup brand mark. No text, no words, no letters."
logo-mocks,25-negative-space-bunny.png,"A premium minimalist app icon: a solid soft-cream rounded square shape with a clean geometric bunny silhouette cut out of it as negative space — revealing a deep indigo background through the bunny shape. Just the bunny outline (head plus two ears), no facial details. Vector-perfect, modern brand identity. No text, no words, no letters."
logo-mocks,26-stylized-bunny-face-flat.png,"A premium minimalist abstract bunny mascot: a flat geometric front-facing bunny face, made from simple stacked shapes — a rounded white body, two long thin indigo ear shapes with subtle pink inner accents, two tiny dot eyes, no mouth. Centered on a soft cream rounded-square background. Modern flat-design brand mark, less cartoony more iconic. No text, no words, no letters."
logo-mocks,27-bunny-with-page-fold.png,"A premium minimalist abstract symbol for a reading brand: a stylized geometric bunny silhouette where the bunny's belly is replaced by a clean rectangular page shape with a single horizontal line on it, fusing bunny and book into one mark. Solid indigo with soft violet accent. Centered on a cream rounded-square background. Vector-perfect modern brand mark. No text, no words, no letters."
logo-mocks,28-bunny-monogram-r.png,"A premium minimalist app icon: a bold geometric letter R where the negative space inside the R curve forms the silhouette of a small bunny head with two ears poking up. Clever monogram fusion. Solid deep indigo on a soft cream rounded-square background. Vector-perfect, modern brand identity, Sequoia-portfolio startup feel. No text, no words other than the single stylized R."
logo-mocks,29-bunny-shape-blocks.png,"A premium minimalist abstract bunny mascot built from a few simple geometric blocks: a circle for the head, two tall rounded rectangles for ears, a smaller circle for the body, no facial details. Indigo and soft violet color palette on a cream rounded-square background. Vector-perfect modern flat design, like a building-block toy interpretation of the brand. No text, no words, no letters."
logo-mocks,30-bunny-silhouette-soft-three-quarter.png,"A premium minimalist abstract bunny logo: a soft geometric front-three-quarter silhouette of a bunny — head and two long ears tilted slightly to one side, no body or limbs visible, no facial details, just the flat indigo silhouette with subtle pink inner ear shapes. Centered on a soft cream rounded-square background. Modern startup brand mark with the chibi charm of the original logo but stripped to pure geometry. No text, no words, no letters."
