grade,folder,standard_id,question_id,type,expected_path,tts_script
K,kindergarten,RL.K.1,RL.K.1-Q3,multiple_choice,audio/kindergarten/RL.K.1/RL.K.1-Q3.mp3,"Why did Emma's mom make a chocolate cake?

Emma was hungry.... It was Emma's birthday.... It was a sunny day.... She liked to bake."
K,kindergarten,RL.K.2,RL.K.2-Q1,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q1.mp3,"What did Bear do right after he felt hungry?

He ate the honey.... He looked in a tree.... He felt happy.... He found some berries."
K,kindergarten,RL.K.2,RL.K.2-Q2,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q2.mp3,"Why did Frog get on the lily pad?

A. To find a new home.... B. To get to the other side.... C. To eat a snack.... D. To take a nap."
K,kindergarten,RL.K.2,RL.K.2-Q3,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q3.mp3,"What was Mia's problem in the story?

She shared her sandwich with Leo.... She forgot her lunch at home.... She didn't like her friend Leo.... She wanted to eat alone."
K,kindergarten,RL.K.2,RL.K.2-Q4,multiple_choice,audio/kindergarten/RL.K.2/RL.K.2-Q4.mp3,"How did Turtle win the race?

Rabbit did not want to win.... Turtle ran very fast.... Rabbit stopped to rest.... Turtle kept walking when Rabbit took a nap."
K,kindergarten,RL.K.4,RL.K.4-Q3,multiple_choice,audio/kindergarten/RL.K.4/RL.K.4-Q3.mp3,"The boat DRIFTED across the calm lake. What does DRIFTED tell us about how the boat moved?

A. It stopped and stayed still.... B. It floated gently with the water.... C. It moved quickly with a motor.... D. It went down into the lake."
K,kindergarten,RL.K.5,RL.K.5-Q4,multiple_choice,audio/kindergarten/RL.K.5/RL.K.5-Q4.mp3,"Read the text: ""I like bugs / Big bugs, small bugs / Crawly bugs, tall bugs / I like bugs a lot!"" What makes this text sound like a poem?

It tells you how to make something.... It has words that rhyme.... It tells a long story about bugs.... It teaches you facts about bugs."
K,kindergarten,RL.K.6,RL.K.6-Q3,multiple_choice,audio/kindergarten/RL.K.6/RL.K.6-Q3.mp3,"A book cover says: ""Written by Maria Lopez. Illustrated by James Park.""

How did Maria Lopez and James Park help make this book?

Maria Lopez wrote the story, and James Park drew the pictures.... They both helped to print the book.... Maria Lopez drew the pictures, and James Park wrote the story.... They both helped to read the book."
K,kindergarten,RL.K.7,RL.K.7-Q2,multiple_choice,audio/kindergarten/RL.K.7/RL.K.7-Q2.mp3,"The story says, ""It was snowing outside."" If a picture showed a child wearing a warm hat and gloves, what does the picture help us know about the story?

The child is playing inside.... It is springtime.... It is cold outside.... The child is going to sleep."
K,kindergarten,RI.K.3,RI.K.3-Q2,multiple_choice,audio/kindergarten/RI.K.3/RI.K.3-Q2.mp3,"What does the passage help us understand about how water and ice are connected?

Ice only gets colder and never melts.... Water and ice are always separate and never change into one another.... Water can become ice, and ice can become water again.... Only cold things can be water, and only warm things can be ice."
