id,level,severity,reason,old_hint,new_hint
RL.K.1-Q1,Kindergarten,warn,"The hint points to the exact sentence and asks a question that is answered verbatim in that sentence, making the answer very obvious without explicitly stating it.",Look at the second sentence — what did Max play fetch with?,
RL.K.1-Q3,Kindergarten,warn,The hint heavily implies the answer by directing the child to find 'a number' in a very short passage where only one number is relevant to the question.,The story tells you a number — what is it?,
RL.K.1-Q5,Kindergarten,fail,"The hint points directly to the first word of the story, which is the correct answer, effectively revealing it.",Look at the very first word of the story!,Go back to the very first sentence to see who planted seeds.
RL.K.2-Q1,Kindergarten,warn,The hint describes the characteristic of the correct answer (telling what happened in order) rather than guiding the child back to a specific part of the passage to re-evaluate.,"Which answer tells what happened in order — beginning, middle, and end?",
RL.K.2-Q2,Kindergarten,warn,"The hint asks a question whose direct answer is the correct choice, making it very easy for the child to identify the answer without further comprehension.",Think about what started the story — what did Frog want?,
RL.K.2-Q4,Kindergarten,fail,"The hint asks 'who crossed the finish line?', which is a direct paraphrase of 'who won the race?', and the last sentence explicitly states 'Turtle... won the race!'. This reveals the answer.",Read the last sentence — who crossed the finish line?,Re-read the last sentence to see who finished first!
RL.K.3-Q4,Kindergarten,warn,"The hint points directly to the keywords 'dark' and 'moon,' which heavily imply 'nighttime' without explicitly stating the answer.",What clues tell you the time? Think about 'dark' and 'moon.',
RL.K.3-Q5,Kindergarten,warn,The hint asks a very specific question whose answer is directly stated in the passage and immediately reveals the correct answer to the main question.,Read carefully — who was digging?,
RL.K.4-Q1,Kindergarten,fail,"The hint quotes the exact phrase from the passage that directly defines the correct answer, leaving no work for the child to infer the meaning.",The next sentence gives you a clue — 'bigger than a car.',What does the second sentence tell you about the elephant?
RL.K.4-Q2,Kindergarten,warn,"The hint points directly to the context clues ('smiled and jumped') that strongly indicate the correct answer, making the inference very easy for the child.",Think about what Kai did — he smiled and jumped!,
RL.K.4-Q3,Kindergarten,warn,"The hint points directly to a word ('slowly') that is a key component of the correct answer, making it very easy for the child to infer the correct choice.",The word 'slowly' right after it helps you figure it out!,
RL.K.4-Q4,Kindergarten,warn,"The hint uses a rhetorical question that heavily implies the correct answer without explicitly stating it, making it too easy for a child to infer.",When can you see your breath outside? When it's...?,
RL.K.4-Q5,Kindergarten,warn,"The hint strongly implies the correct answer by asking the child to infer how they would feel in the given situation, which directly leads to 'scared.'",The animals ran away — how would YOU feel if a lion roared at you?,
RL.K.5-Q1,Kindergarten,warn,The hint provides a definition that perfectly describes the correct answer and then asks a question that makes the correct choice extremely obvious without explicitly stating it.,Storybooks tell a story with characters and things that happen. Which one starts like a story?,
RL.K.5-Q2,Kindergarten,warn,"The hint points out the defining characteristics of a poem or song (rhyme, short lines), making it very easy to deduce the correct answer without further critical thinking.",Does it rhyme? Does it have short lines? That's a clue!,
RL.K.5-Q3,Kindergarten,warn,"The hint prompts the child to think about the definition of a story, which is the correct answer, rather than guiding them to re-evaluate the choices or a passage.",Think about your favorite storybook — what makes it a story?,
RL.K.5-Q4,Kindergarten,fail,The hint explicitly states the correct answer by saying 'that's a poem!',It has short lines and some words rhyme — that's a poem!,Notice how the words are arranged in short lines.
RL.K.5-Q5,Kindergarten,fail,The hint directly states the correct answer by explaining why the text is a story and concluding 'that's a story!'.,"It has characters (pigs, wolf) and things that happen — that's a story!",Re-read what happened to the pigs and the wolf.
RL.K.6-Q1,Kindergarten,fail,"The hint provides the defining characteristic of an author, essentially paraphrasing the correct answer's role without requiring the child to recall the term.",This person uses words to tell the story.,Think about the word 'WRITES' in the question.
RL.K.6-Q2,Kindergarten,fail,"The hint directly defines the correct answer, allowing the child to easily match it to the 'Illustrator' choice without further thought.",This person creates the artwork and images you see!,Re-read the part about who 'DRAWS' the pictures in a book.
RL.K.6-Q3,Kindergarten,warn,"The hint defines a key term ('illustrated by') that, when combined with the prompt, directly reveals the correct answer without requiring further inference.",'Illustrated by' means 'pictures drawn by.',
RL.K.6-Q4,Kindergarten,fail,"The hint paraphrases the correct answer, telling the child what an author does with words.",An author creates the story using words.,What does an author put on the pages of a book?
RL.K.6-Q5,Kindergarten,fail,"The hint defines the role of an author, which directly gives away the correct answer.",'By' on a book cover usually means who wrote it!,Re-read the words 'By Dr. Seuss' from the book.
RL.K.7-Q2,Kindergarten,fail,"The hint directly states the key element of the correct answer, making it easy for the child to match 'snow' to the correct picture.",The picture should show what the words describe — snow!,Re-read the part that says 'It was snowing outside'.
RL.K.7-Q4,Kindergarten,fail,"The hint directly states that the picture shows 'where' the cat was hiding, which is the correct answer.",The words say 'somewhere' — the picture shows us exactly where!,What new information did the picture of the cat under the bed give you?
