"lesson_id","filename","script_text","voice_direction"
"lessons/RL.2.7","S1a","Pictures are part of the story too.",""
"lessons/RL.2.7","S1b","They show details the words might not say.",""
"lessons/RL.2.7","S1c","Let us use them together!",""
"lessons/RL.2.7","S2a","The words might say: it was cold.",""
"lessons/RL.2.7","S2b","The picture shows snow, bare trees, and a deer in a coat.",""
"lessons/RL.2.7","S2c","Now we know it is winter!",""
"lessons/RL.2.7","S3a","The picture shows how the character feels.",""
"lessons/RL.2.7","S3b","A huge smile means excited or proud.",""
"lessons/RL.2.7","S3c","Crossed arms and a frown? Maybe angry or upset.",""
"lessons/RL.2.7","S4a","Here is a helpful trick.",""
"lessons/RL.2.7","S4b","When you read, pause on each picture. Ask, what does it add?",""
"lessons/RL.2.7","S4c","Now you are ready to use pictures to understand stories!",""
