"lesson_id","filename","script_text","voice_direction"
"1st-grade/RL.1.1","RL.1.1-Q1","Bella picked three red apples from the tree. She put them in her basket.. How many apples did Bella pick? Three. Two. One. Four.",""
"1st-grade/RL.1.1","RL.1.1-Q2","The frog sat on a lily pad in the pond. He was waiting for a fly.. Where was the frog sitting? On a rock. On a lily pad. In the mud. On the grass.",""
"1st-grade/RL.1.1","RL.1.1-Q3","Emma walked to school with her friend Jake. They talked about their favorite animals.. Who did Emma walk with? Her dog. Her mom. Her friend Jake. Her sister.",""
"1st-grade/RL.1.1","RL.1.1-Q4","Dad made pancakes for breakfast. He put blueberries on top.. What did Dad put on the pancakes? Chocolate chips. Syrup. Bananas. Blueberries.",""
"1st-grade/RL.1.1","RL.1.1-Q5","The kitten climbed the tall tree. It was scared to come down.. How did the kitten feel? Scared. Happy. Hungry. Sleepy.",""
"1st-grade/RL.1.2","RL.1.2-Q1","Tom wanted to win the race. He practiced running every day. On race day, he came in first!. What is the lesson of this story? Running is boring. Practice helps you get better. Races are scary. Tom is the fastest kid.",""
"1st-grade/RL.1.2","RL.1.2-Q2","Mia did not share her crayons. Her friends stopped playing with her. Mia felt sad and lonely.. What is the lesson of this story? Friends are mean. Crayons are important. Sharing is important. Drawing is fun.",""
"1st-grade/RL.1.2","RL.1.2-Q3","The ant worked hard all summer saving food. The grasshopper played all day. When winter came, the ant had food but the grasshopper did not.. What is the lesson? Winter is cold. Ants are better than grasshoppers. Playing is bad. It is good to plan ahead.",""
"1st-grade/RL.1.2","RL.1.2-Q4","Leo tried to ride his bike but kept falling. His mom said, ""Keep trying!"" After many tries, Leo could ride all by himself.. What happened first in the story? Leo kept falling. Leo rode his bike. Leo stopped trying. Mom said keep trying.",""
"1st-grade/RL.1.2","RL.1.2-Q5","Sara told a lie about breaking the vase. She felt bad all day. She told the truth and felt much better.. What is the lesson? Parents get angry. Lying makes you feel bad. Vases break easily. Don't touch vases.",""
"1st-grade/RL.1.3","RL.1.3-Q1","The kind old woman lived in a tiny cottage by the sea. She fed the birds every morning.. Where does the story take place? In the mountains. In a city. By the sea. In a forest.",""
