"lesson_id","filename","script_text","voice_direction"
"lessons/L.1.5a","S1a","Many words belong to the same group.",""
"lessons/L.1.5a","S1b","A group is a name for things that go together.",""
"lessons/L.1.5a","S1c","Let us sort some words!",""
"lessons/L.1.5a","S2a","Listen. Cat. Dog. Fish. Bird.",""
"lessons/L.1.5a","S2b","What do they have in common?",""
"lessons/L.1.5a","S2c","They are all animals! That is the group.",""
"lessons/L.1.5a","S3a","Apple. Banana. Orange. Grape.",""
"lessons/L.1.5a","S3b","What group? Fruits!",""
"lessons/L.1.5a","S4a","Here is a helpful trick.",""
"lessons/L.1.5a","S4b","Ask, what do these words all have in common? That is their group!",""
"lessons/L.1.5a","S4c","Now you are ready to sort words into groups!",""
