"lesson_id","filename","script_text","voice_direction"
"lessons/RF.1.4b","S1a","Reading out loud is like telling a story.",""
"lessons/RF.1.4b","S1b","Good readers use their voice to make the words come alive.",""
"lessons/RF.1.4b","S1c","Let us learn a few tricks to read out loud like a star!",""
"lessons/RF.1.4b","S2a","The ending mark tells your voice what to do.",""
"lessons/RF.1.4b","S2b","A period means stop. Your voice comes down. The dog runs.",""
"lessons/RF.1.4b","S2c","A question mark means your voice goes up. Is the dog fast?",""
"lessons/RF.1.4b","S2d","An exclamation mark means excited! The dog is so fast!",""
"lessons/RF.1.4b","S3a","Good readers read at just the right speed.",""
"lessons/RF.1.4b","S3b","Not too fast. The words get jumbled.",""
"lessons/RF.1.4b","S3c","Not too slow. The words lose their meaning.",""
"lessons/RF.1.4b","S3d","Nice and smooth, like talking to a friend.",""
"lessons/RF.1.4b","S4a","Here is a helpful trick.",""
"lessons/RF.1.4b","S4b","Pretend you are reading to someone you love. Use your voice!",""
"lessons/RF.1.4b","S4c","Now you are ready to practice reading out loud!",""
