"lesson_id","filename","script_text","voice_direction"
"2nd-grade/L.2.1","L.2.1-Q1","Pick the right word: The team ___ to the field.",""
"2nd-grade/L.2.1","L.2.1-Q1-hint","Team is one group, so use runs!",""
"2nd-grade/L.2.1","L.2.1-Q2","Which is the past tense of fly?",""
"2nd-grade/L.2.1","L.2.1-Q2-hint","Fly is irregular. Yesterday it flew!",""
"2nd-grade/L.2.1","L.2.1-Q3","Which sentence is correct?",""
"2nd-grade/L.2.1","L.2.1-Q3-hint","Use ""I am"" for yourself!",""
"2nd-grade/L.2.1","L.2.1-Q4","What is a collective noun?",""
"2nd-grade/L.2.1","L.2.1-Q4-hint","Team, herd, flock — words that name groups.",""
"2nd-grade/L.2.1","L.2.1-Q5","Past tense of eat?",""
"2nd-grade/L.2.1","L.2.1-Q5-hint","Eat is irregular! Yesterday I ate.",""
